 Sistema de Informação de Atenção Básica - Produção e Marcadores - Brasil
Atend.Pré-Natal por Município e Ano
Período:1998-2015
"Município";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"Total"
"130020 ATALAIA DO NORTE";14;274;570;753;1021;1002;985;907;732;1382;875;1073;1257;1453;1691;1739;1571;350;17649
"130030 AUTAZES";-;5;38;1455;2590;3400;3437;3672;3661;4203;4048;4435;4701;4895;5712;4812;4894;1803;57761
"130040 BARCELOS";-;-;30;118;503;257;610;436;867;762;962;663;342;450;914;2521;1571;577;11583
"130050 BARREIRINHA";-;423;1193;1955;2056;1964;2050;2417;2155;1096;3085;2994;2991;4586;2951;3212;2979;844;38951
"130060 BENJAMIN CONSTANT";-;14;92;16;-;-;127;450;2273;2948;3118;3739;3479;3833;3147;3488;1416;-;28140
"130063 BERURI";-;-;2;-;12;-;-;-;146;1381;2717;3335;3546;2361;1723;1150;1563;-;17936
"130068 BOA VISTA DO RAMOS";-;283;705;1264;2027;2201;976;1212;1370;1372;1735;1804;2037;632;1981;1711;2071;1748;25129
"130070 BOCA DO ACRE";-;154;84;1244;2119;2964;2798;2855;3694;3524;3175;2855;2232;1866;2058;3735;3782;1813;40952
"130080 BORBA";-;-;583;878;847;1480;1509;1655;3203;4439;3991;3840;4265;4023;4439;4083;4199;3892;47326
"130083 CAAPIRANGA";-;25;590;415;613;535;789;1138;1121;1207;1326;1351;1811;1457;1281;1355;1670;482;17166
"130090 CANUTAMA";-;-;609;355;449;976;1115;1394;957;860;1308;1139;1110;1356;1439;1242;962;305;15576
"130100 CARAUARI";62;343;-;77;894;159;30;152;1332;2308;3545;2442;3501;3229;2520;1631;1807;1748;25780
"130110 CAREIRO";24;128;178;327;83;94;66;737;1609;1401;1786;2765;2622;2720;2542;2575;2573;2625;24855
"130115 CAREIRO DA VARZEA";-;-;175;496;590;789;871;876;983;826;676;819;584;357;318;1261;904;946;11471
"130120 COARI";-;717;1735;3828;6721;6642;7877;8136;7620;7773;8557;8738;7130;6718;6701;8694;9560;8498;115645
"130130 CODAJAS";-;136;542;57;971;-;-;272;2313;3491;2780;2959;2768;2495;3559;2347;3602;3434;31726
"130140 EIRUNEPE";-;-;192;1684;2698;2588;2499;2896;2841;3133;3473;3684;3949;4305;4104;4722;4457;2279;49504
"130150 ENVIRA";-;156;263;328;749;370;582;882;1437;2821;2955;1486;1892;1705;1784;-;-;-;17410
"130160 FONTE BOA";-;174;1744;2414;2594;3298;62048;3563;3297;3043;2804;3156;2709;3243;2976;2238;3972;3773;107046
"130165 GUAJARA";-;247;594;705;689;1024;1162;1407;1503;1663;1760;1734;1625;2061;1925;1875;1889;1649;23512
"130170 HUMAITA";-;-;2006;1775;2442;2354;3226;5073;5064;4621;5091;5747;5871;6302;4410;4779;5437;5778;69976
