 Sistema de Informação de Atenção Básica - Produção e Marcadores - Brasil
Atend.Pré-Natal por Município e Ano
Período:1998-2015
"Município";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"Total"
"315880 SANTANA DO JACARE";81;207;175;84;113;17;11;32;7;30;118;81;51;3;6;23;66;209;1314
"315890 SANTANA DO MANHUACU";60;229;17;52;84;121;151;230;4;149;161;392;982;618;441;788;521;620;5620
"315895 SANTANA DO PARAISO";-;13;45;172;328;467;311;457;1023;1455;1676;1731;1866;2332;2151;2230;3024;3145;22426
"315900 SANTANA DO RIACHO";37;187;2134;114;97;138;243;366;341;180;181;244;230;85;153;329;267;215;5541
"315910 SANTANA DOS MONTES";-;-;-;-;74;95;224;261;267;95;213;203;236;256;204;222;82;3;2435
"315920 SANTA RITA DE CALDAS";-;10;45;62;20;24;37;-;59;79;19;11;38;63;97;158;246;-;968
"315930 SANTA RITA DE JACUTINGA";33;123;135;3;-;271;469;270;329;36;15;1;-;117;3;14;11;5;1835
"315935 SANTA RITA DE MINAS";56;45;67;209;130;143;429;121;52;69;5;2;9;5;13;1;1;15;1372
"315940 SANTA RITA DE IBITIPOCA";-;-;-;-;-;-;55;-;-;-;-;-;7;3;46;327;264;95;797
"315950 SANTA RITA DO ITUETO";-;-;-;-;-;148;207;440;626;544;433;329;349;482;457;248;556;327;5146
"315960 SANTA RITA DO SAPUCAI";-;-;34;41;4;5;8;124;145;350;842;565;471;421;362;707;1421;1250;6750
"315970 SANTA ROSA DA SERRA";-;-;-;-;68;334;61;31;124;145;323;259;218;120;69;63;126;21;1962
"315980 SANTA VITORIA";40;2;-;130;142;93;175;368;13;35;637;262;253;254;210;160;207;170;3151
"315990 SANTO ANTONIO DO AMPARO";397;583;933;1319;1198;1274;1610;1514;1446;1603;1284;1093;988;1720;1629;1236;890;-;20717
"316000 SANTO ANTONIO DO AVENTUREIRO";42;107;127;124;133;154;109;97;174;199;220;191;170;212;180;153;185;39;2616
"316010 SANTO ANTONIO DO GRAMA";-;-;-;203;4;1;21;42;175;363;214;333;289;424;392;210;196;62;2929
"316020 SANTO ANTONIO DO ITAMBE";-;326;382;323;407;365;325;446;425;469;239;247;221;146;209;331;415;340;5616
"316030 SANTO ANTONIO DO JACINTO";-;-;-;-;76;576;663;1194;1311;1927;1171;1329;1110;1025;934;964;802;783;13865
"316040 SANTO ANTONIO DO MONTE";20;13;37;52;369;916;1088;1062;835;739;631;590;1016;1179;1054;1978;1632;1901;15112
"316045 SANTO ANTONIO DO RETIRO";-;36;383;483;579;459;348;554;496;667;524;463;617;479;520;559;567;482;8216
"316050 SANTO ANTONIO DO RIO ABAIXO";-;-;-;-;28;166;219;288;63;4;109;123;43;1;-;639;164;199;2046
"316060 SANTO HIPOLITO";-;38;31;17;55;202;235;269;260;196;118;125;207;197;197;167;232;128;2674
"316070 SANTOS DUMONT";-;-;-;-;-;6;29;197;-;15;13;12;65;74;35;407;702;446;2001
"316080 SAO BENTO ABADE";29;314;316;501;444;432;546;195;7;15;15;-;300;378;664;631;235;-;5022
"316090 SAO BRAS DO SUACUI";-;-;24;145;360;177;101;131;194;14;-;-;10;43;46;44;131;54;1474
"316095 SAO DOMINGOS DAS DORES";-;-;-;-;-;3;31;69;515;334;720;629;1520;382;452;227;451;341;5674
"316100 SAO DOMINGOS DO PRATA";41;248;392;674;610;599;745;816;663;599;605;306;394;536;773;917;1168;401;10487
"316105 SAO FELIX DE MINAS";-;-;-;-;-;-;-;-;172;200;176;72;208;171;269;238;299;238;2043
"316110 SAO FRANCISCO";167;252;304;2364;2984;4204;971;4228;3925;3762;3989;3951;4445;3335;3237;3249;4469;4940;54776
"316120 SAO FRANCISCO DE PAULA";-;-;129;503;111;152;219;70;128;519;411;387;367;416;486;404;372;341;5015
"316130 SAO FRANCISCO DE SALES";22;157;222;222;314;269;265;46;379;410;348;171;37;3;-;137;233;151;3386
"316140 SAO FRANCISCO DO GLORIA";-;12;28;141;99;7;17;4;-;-;11;2;1;-;-;-;-;-;322
"316150 SAO GERALDO";-;-;2;94;112;284;385;68;118;179;234;79;90;105;76;63;85;78;2052
"316160 SAO GERALDO DA PIEDADE";-;-;-;-;88;336;162;-;239;927;571;475;451;417;395;541;369;253;5224
"316165 SAO GERALDO DO BAIXIO";-;-;-;10;52;153;271;225;358;943;501;494;448;545;390;253;296;264;5203
"316170 SAO GONCALO DO ABAETE";-;-;12;41;279;576;514;498;417;328;303;173;34;61;109;171;326;-;3842
"316180 SAO GONCALO DO PARA";115;153;135;241;325;289;504;463;438;85;18;37;201;236;159;167;328;-;3894
"316190 SAO GONCALO DO RIO ABAIXO";-;-;-;-;638;432;406;1275;627;822;763;577;329;562;499;623;668;857;9078
"316200 SAO GONCALO DO SAPUCAI";-;-;-;-;-;-;-;-;36;39;1;-;57;62;62;78;193;164;692
"316210 SAO GOTARDO";83;301;711;1043;547;359;401;414;912;879;770;584;719;782;770;1683;2568;2521;16047
"316220 SAO JOAO BATISTA DO GLORIA";-;26;146;240;173;217;267;444;183;261;188;166;576;793;742;694;803;696;6615
"316225 SAO JOAO DA LAGOA";108;315;360;40;240;163;250;463;164;205;160;395;406;387;426;371;326;380;5159
"316230 SAO JOAO DA MATA";-;-;85;18;27;31;39;80;40;42;73;73;59;35;30;18;29;51;730
"316240 SAO JOAO DA PONTE";36;498;394;449;352;291;129;554;789;1050;1226;1781;2053;2200;2134;2119;2288;3013;21356
"316245 SAO JOAO DAS MISSOES";-;-;-;57;540;487;111;372;719;2030;1731;1271;1830;1758;1586;1575;1918;2145;18130
"316250 SAO JOAO DEL REI";-;-;43;209;306;590;925;593;400;322;375;399;435;246;143;99;78;70;5233
"316255 SAO JOAO DO MANHUACU";-;71;214;144;1585;1055;1074;263;88;223;138;247;115;544;537;319;116;63;6796
"316257 SAO JOAO DO MANTENINHA";-;-;-;-;-;-;-;-;-;47;56;56;78;220;295;420;319;178;1669
"316260 SAO JOAO DO ORIENTE";1;-;-;35;93;208;117;356;569;298;528;196;337;242;181;177;309;568;4215
"316265 SAO JOAO DO PACUI";-;-;-;-;79;200;190;197;246;343;374;251;1950;363;242;292;318;362;5407
"316270 SAO JOAO DO PARAISO";58;126;341;148;747;883;835;939;1416;2024;1667;1285;1709;1487;1747;1633;1741;1973;20759
"316280 SAO JOAO EVANGELISTA";-;-;380;1420;1658;1470;1545;1411;1354;889;1271;1322;2989;1792;1204;1639;1649;786;22779
"316290 SAO JOAO NEPOMUCENO";66;198;521;417;507;449;664;547;399;123;231;183;306;236;258;143;115;-;5363
"316292 SAO JOAQUIM DE BICAS";-;-;-;-;-;-;87;3;56;3;130;438;613;890;906;1029;1165;1692;7012
"316294 SAO JOSE DA BARRA";22;98;19;491;461;610;595;682;295;100;51;121;87;59;78;38;21;21;3849
"316295 SAO JOSE DA LAPA";-;-;-;-;-;-;-;-;-;-;-;-;74;435;695;1167;1910;1885;6166
"316300 SAO JOSE DA SAFIRA";-;-;-;-;47;391;167;-;-;34;39;277;443;478;402;406;403;347;3434
"316310 SAO JOSE DA VARGINHA";-;-;-;-;134;101;24;136;186;55;24;52;50;49;58;-;77;88;1034
"316320 SAO JOSE DO ALEGRE";-;-;12;1;-;-;-;6;19;27;70;7;-;12;28;90;140;24;436
"316330 SAO JOSE DO DIVINO";-;221;135;343;479;338;243;530;256;274;194;285;304;415;291;341;208;252;5109
"316340 SAO JOSE DO GOIABAL";-;124;137;149;211;34;9;20;51;139;92;169;145;125;65;322;374;330;2496
"316350 SAO JOSE DO JACURI";119;103;80;88;138;234;353;472;330;320;815;573;387;217;1017;2309;562;567;8684
"316360 SAO JOSE DO MANTIMENTO";1;4;26;42;11;98;210;152;78;17;8;4;1;1;11;12;11;103;790
"316370 SAO LOURENCO";-;33;188;410;937;1136;1464;354;144;48;119;204;1661;1681;1530;1510;1662;1682;14763
"316380 SAO MIGUEL DO ANTA";77;55;182;135;319;377;265;157;167;36;148;76;38;9;38;80;147;298;2604
"316390 SAO PEDRO DA UNIAO";159;368;417;121;176;280;121;212;222;200;255;339;310;332;371;353;540;431;5207
"316400 SAO PEDRO DOS FERROS";-;-;-;131;261;548;324;633;628;442;541;429;154;148;177;175;271;190;5052
"316410 SAO PEDRO DO SUACUI";-;109;257;192;251;200;199;297;485;320;329;281;299;326;356;266;298;-;4465
"316420 SAO ROMAO";-;239;125;313;424;368;76;642;749;1014;893;711;1313;1164;988;833;792;489;11133
"316430 SAO ROQUE DE MINAS";-;136;107;121;100;101;192;23;54;136;67;9;357;268;254;165;171;77;2338
"316440 SAO SEBASTIAO DA BELA VISTA";-;-;-;-;38;1;13;64;17;27;39;42;53;22;37;28;-;54;435
"316443 SAO SEBASTIAO DA VARGEM ALEGRE";79;252;199;110;127;71;161;72;564;169;256;171;404;46;15;5;54;230;2985
"316447 SAO SEBASTIAO DO ANTA";-;-;-;-;-;-;113;119;343;245;187;151;435;673;594;445;466;520;4291
"316450 SAO SEBASTIAO DO MARANHAO";-;-;-;-;8;7;74;255;214;182;245;558;88;612;155;442;553;174;3567
"316460 SAO SEBASTIAO DO OESTE";-;-;-;117;80;74;170;33;26;74;33;593;329;318;309;370;589;719;3834
"316470 SAO SEBASTIAO DO PARAISO";114;528;666;621;1619;2393;2020;1780;1731;2322;2621;2840;5063;3492;4029;4351;4951;5157;46298
"316480 SAO SEBASTIAO DO RIO PRETO";-;-;-;-;28;58;67;105;103;93;112;108;113;91;107;38;71;74;1168
"316490 SAO SEBASTIAO DO RIO VERDE";-;-;-;-;-;-;-;12;14;33;62;75;114;186;87;117;169;89;958
"316500 SAO TIAGO";-;-;323;404;473;478;422;629;767;1453;1048;1009;1361;1131;1107;1110;1078;334;13127
"316510 SAO TOMAS DE AQUINO";75;50;5;7;26;98;113;157;86;395;811;636;727;723;556;512;769;628;6374
"316520 SAO THOME DAS LETRAS";-;30;217;115;196;109;45;53;87;-;26;3;33;33;62;23;349;287;1668
"316530 SAO VICENTE DE MINAS";9;-;-;65;238;428;416;415;1455;521;266;132;245;55;72;49;40;27;4433
"316540 SAPUCAI-MIRIM";-;-;-;-;-;-;-;8;26;-;-;-;-;12;-;42;38;12;138
"316550 SARDOA";164;-;-;94;374;866;443;385;585;282;75;221;32;10;-;587;681;697;5496
"316553 SARZEDO";-;-;-;-;-;-;-;-;643;1578;1834;1670;1785;1915;2216;2309;2089;2438;18477
"316555 SETUBINHA";-;-;-;-;-;99;1219;721;686;817;593;491;964;1185;974;950;944;1030;10673
"316556 SEM-PEIXE";-;-;-;-;-;-;-;20;156;164;154;25;65;68;423;5;3;-;1083
"316557 SENADOR AMARAL";-;-;-;-;-;-;-;178;49;107;80;74;131;256;252;498;271;568;2464
"316560 SENADOR CORTES";2;16;-;-;-;-;-;-;-;-;-;34;44;-;-;-;9;-;105
"316570 SENADOR FIRMINO";36;223;357;334;419;557;463;516;533;519;441;308;268;243;247;217;213;93;5987
"316580 SENADOR JOSE BENTO";-;33;92;63;82;17;59;5;70;43;32;63;36;122;128;115;103;82;1145
"316590 SENADOR MODESTINO GONCALVES";-;125;207;105;334;227;510;487;453;356;202;98;63;83;273;449;426;149;4547
"316600 SENHORA DE OLIVEIRA";49;44;145;141;150;95;126;385;395;460;369;230;242;209;209;119;324;178;3870
"316610 SENHORA DO PORTO";-;51;138;118;158;182;266;223;367;289;332;301;333;308;300;366;436;331;4499
"316620 SENHORA DOS REMEDIOS";13;205;203;193;259;232;256;182;109;36;49;-;12;230;196;75;149;3;2402
"316630 SERICITA";-;-;-;127;380;436;437;412;611;719;-;-;2248;169;-;334;347;126;6346
"316640 SERITINGA";-;-;-;1;45;43;92;112;80;65;63;201;174;118;137;123;90;149;1493
"316650 SERRA AZUL DE MINAS";-;326;409;543;509;490;436;602;476;452;375;586;411;597;452;440;261;620;7985
"316660 SERRA DA SAUDADE";23;57;31;47;54;101;67;48;62;50;57;35;52;38;66;63;68;28;947
"316670 SERRA DOS AIMORES";179;536;594;386;519;386;574;906;836;833;718;649;664;443;468;534;614;500;10339
"316680 SERRA DO SALITRE";-;46;56;16;6;4;44;104;116;339;441;277;577;743;772;1030;815;219;5605
"316690 SERRANIA";-;-;-;-;-;-;-;154;516;521;209;389;635;739;807;751;629;813;6163
"316695 SERRANOPOLIS DE MINAS";-;-;-;249;181;277;404;420;382;370;334;188;197;337;317;484;438;399;4977
"316700 SERRANOS";-;-;-;-;33;72;107;118;48;8;14;7;-;18;-;26;3;-;454
"316710 SERRO";788;1746;1119;2493;2334;1411;1822;2509;2128;422;570;1219;1394;1248;961;1091;1530;1510;26295
"316720 SETE LAGOAS";-;-;-;-;52;114;1156;2086;2229;3208;2932;3230;4092;3499;3555;4410;3860;-;34423
"316730 SILVEIRANIA";-;-;-;-;92;77;139;211;193;141;164;120;510;114;154;127;116;152;2310
"316740 SILVIANOPOLIS";-;-;-;175;154;96;41;32;41;63;54;7;9;14;7;34;241;472;1440
"316750 SIMAO PEREIRA";-;55;45;78;-;-;-;-;23;53;39;16;17;-;-;27;70;75;498
"316760 SIMONESIA";-;-;-;-;-;-;-;79;431;417;627;868;1635;1358;1284;987;1033;633;9352
"316770 SOBRALIA";-;-;-;67;119;195;225;280;226;280;323;284;160;26;-;117;296;230;2828
"316780 SOLEDADE DE MINAS";-;-;-;-;71;200;141;125;300;44;15;13;25;23;7;21;2;1;988
"316790 TABULEIRO";-;133;293;400;447;335;258;145;22;-;7;45;109;49;17;66;40;36;2402
"316800 TAIOBEIRAS";68;257;207;1632;2112;2332;2286;2334;2453;2373;2616;2363;2470;2663;2800;2578;2294;2080;35918
"316805 TAPARUBA";5;44;54;19;20;274;275;22;-;168;249;227;323;231;335;302;342;398;3288
"316810 TAPIRA";-;-;49;245;486;267;310;204;206;251;283;78;-;20;192;15;22;117;2745
"316820 TAPIRAI";-;-;-;-;-;-;-;-;131;140;80;87;106;142;151;99;105;76;1117
"316830 TAQUARACU DE MINAS";-;-;-;-;66;233;301;11;23;29;46;92;116;121;192;121;164;115;1630
"316840 TARUMIRIM";-;6;50;-;2;5;1;55;88;172;229;265;739;640;731;835;691;582;5091
"316850 TEIXEIRAS";154;1496;608;653;916;926;834;389;423;545;412;614;407;706;666;512;423;386;11070
"316860 TEOFILO OTONI";5;34;364;1483;1784;2338;2450;1266;1697;2137;3623;4740;5077;5532;7986;7394;6646;3141;57697
"316870 TIMOTEO";90;166;118;162;875;1732;1881;2334;2389;2192;2248;2597;3371;3489;3746;3337;2976;2275;35978
"316880 TIRADENTES";-;-;-;-;-;83;101;38;44;108;60;169;45;52;191;157;121;139;1308
"316890 TIROS";-;-;269;198;196;386;252;73;206;291;323;219;309;326;358;82;150;320;3958
"316900 TOCANTINS";-;31;161;183;246;261;263;133;22;-;-;-;39;7;46;105;165;96;1758
"316905 TOCOS DO MOJI";-;-;-;-;-;-;-;-;-;-;-;-;136;-;12;44;490;275;957
"316910 TOLEDO";-;-;-;-;-;-;-;-;-;-;-;1;1;-;29;-;-;401;432
"316920 TOMBOS";59;152;100;9;1;4;15;-;-;-;-;-;34;43;18;19;-;-;454
"316930 TRES CORACOES";-;23;154;358;337;283;165;93;99;306;224;86;147;175;1265;1130;1542;1599;7986
"316935 TRES MARIAS";230;610;705;755;723;557;592;815;927;774;769;471;385;317;281;417;430;-;9758
"316940 TRES PONTAS";171;484;476;455;377;372;240;364;231;156;82;76;95;112;252;143;153;145;4384
"316950 TUMIRITINGA";-;-;-;-;-;-;-;-;-;425;539;543;483;477;603;439;767;370;4646
"316960 TUPACIGUARA";-;-;-;-;-;-;-;114;581;778;710;598;932;982;729;908;750;-;7082
"316970 TURMALINA";-;20;86;68;114;289;457;606;1208;1429;1282;1418;1317;1436;1514;1658;1387;1953;16242
"316980 TURVOLANDIA";-;-;-;-;96;53;12;-;11;35;122;74;118;67;116;319;263;366;1652
"316990 UBA";95;760;716;1738;1600;1261;958;617;836;807;698;783;767;1208;910;1118;964;1240;17076
"317000 UBAI";-;-;-;425;881;769;196;1229;1789;1140;1048;1367;1345;825;1220;1331;1090;1540;16195
"317005 UBAPORANGA";-;-;-;4;5;27;488;220;520;675;703;480;1703;581;895;342;466;211;7320
"317010 UBERABA";30;302;2759;4810;7234;7040;6873;6962;5120;4574;4640;4086;6353;6095;8258;7324;6012;6811;95283
"317020 UBERLANDIA";-;178;167;-;-;932;13396;13199;13679;16493;17160;16319;17068;21302;23659;26039;10803;107;190501
"317030 UMBURATIBA";78;161;932;196;225;213;197;570;341;300;204;123;228;246;334;315;165;-;4828
"317040 UNAI";-;-;-;-;9;595;1111;1401;2124;2285;2103;2645;1975;2078;3040;2012;2192;2286;25856
"317043 UNIAO DE MINAS";-;70;56;94;139;104;158;767;327;244;211;243;208;303;33;25;114;51;3147
"317047 URUANA DE MINAS";-;1;137;7;154;247;324;264;250;258;258;249;228;255;234;359;240;102;3567
"317050 URUCANIA";13;17;22;19;11;133;95;88;120;139;56;41;81;75;202;183;84;93;1472
"317052 URUCUIA";352;291;311;423;545;194;59;615;524;918;1097;983;754;798;392;594;657;93;9600
"317057 VARGEM ALEGRE";-;151;391;958;748;673;730;401;603;783;749;385;546;560;607;475;509;407;9676
"317060 VARGEM BONITA";-;23;44;50;151;223;277;72;410;152;180;155;156;124;164;153;119;112;2565
"317065 VARGEM GRANDE DO RIO PARDO";-;-;324;409;299;401;334;442;339;441;313;304;414;417;449;346;576;512;6320
"317070 VARGINHA";-;14;413;18;39;222;551;697;610;709;641;1634;1803;2261;2188;1567;2682;2965;19014
"317075 VARJAO DE MINAS";-;-;200;345;294;389;411;494;379;330;265;351;196;154;185;349;318;93;4753
"317080 VARZEA DA PALMA";-;-;-;-;-;178;140;2471;2696;3730;3039;2820;2563;2789;2245;2548;3616;2661;31496
"317090 VARZELANDIA";-;-;1551;674;496;505;134;459;1388;1932;1726;1660;2211;1860;1813;1381;2051;266435;286276
"317100 VAZANTE";30;416;425;382;460;286;286;280;213;148;141;81;574;500;586;904;768;-;6480
"317103 VERDELANDIA";126;274;195;422;363;408;503;886;719;970;923;886;932;888;947;1251;960;904;12557
"317107 VEREDINHA";-;-;126;194;383;425;490;335;327;406;419;275;278;396;489;563;382;281;5769
"317110 VERISSIMO";-;-;12;11;35;35;76;95;60;33;15;30;15;12;4;54;61;101;649
"317115 VERMELHO NOVO";-;-;-;-;12;188;42;19;13;54;-;12;264;114;169;285;114;126;1412
"317120 VESPASIANO";191;1093;1412;1833;1620;1796;1859;1707;1173;1067;958;1396;2938;2810;3694;3423;428105;4757;461832
"317130 VICOSA";89;332;459;429;373;433;382;788;1836;2294;1998;1640;1660;1625;2437;2027;1237;1654;21693
"317140 VIEIRAS";47;130;213;157;27;37;60;164;205;52;54;8;24;46;37;72;103;39;1475
"317150 MATHIAS LOBATO";-;-;-;-;274;339;221;137;79;81;237;427;262;257;228;312;444;148;3446
"317160 VIRGEM DA LAPA";-;33;50;154;537;729;134;364;470;646;932;1077;624;779;419;556;918;1015;9437
"317170 VIRGINIA";-;183;230;230;399;467;461;319;498;299;130;139;261;77;59;31;135;10;3928
"317180 VIRGINOPOLIS";225;335;380;375;315;45;119;295;210;403;437;392;541;983;679;788;792;1051;8365
"317190 VIRGOLANDIA";170;358;277;292;289;480;446;571;362;538;378;592;453;483;474;524;655;188;7530
"317200 VISCONDE DO RIO BRANCO";22;155;241;127;377;523;496;385;664;872;550;867;1202;1556;1423;1452;1519;1650;14081
"317210 VOLTA GRANDE";43;131;45;151;75;159;154;163;126;233;159;12;136;200;184;63;101;-;2135
"317220 WENCESLAU BRAZ";-;-;-;-;-;-;-;-;-;-;-;-;-;2;28;35;43;3;111
" MUNICIPIO IGNORADO - ES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"320010 AFONSO CLAUDIO";-;-;-;-;121;217;217;116;167;124;61;50;93;76;35;54;102;170;1603
"320013 AGUIA BRANCA";-;-;-;-;359;803;780;518;589;500;521;509;382;380;359;236;426;212;6574
"320016 AGUA DOCE DO NORTE";-;-;146;243434;308;227;414;864;1125;1042;875;713;925;1027;672;1584;1425;334;255115
"320020 ALEGRE";-;-;389;577;795;897;656;1131;1183;907;1006;1174;1043;994;560;479;874;1241;13906
"320030 ALFREDO CHAVES";4;-;-;-;-;-;-;-;-;-;-;-;-;34;51;73;33;164;359
"320035 ALTO RIO NOVO";-;-;301;782;731;691;738;706;472;566;669;507;462;554;487;391;460;552;9069
"320040 ANCHIETA";-;76;189;560;821;1699;1996;1472;1803;1718;2297;3868;1872;378;1233;607;-;51;20640
"320050 APIACA";-;-;56;183;217;216;157;153;360;331;278;244;154;239;192;156;114;194;3244
"320060 ARACRUZ";763;1563;2609;2567;3362;3559;4136;4304;4614;4336;4835;5281;4071;5232;5543;4206;5117;1073;67171
"320070 ATILIO VIVACQUA";-;-;233;412;446;512;455;601;856;639;328;404;170;248;334;285;640;882;7445
"320080 BAIXO GUANDU";-;-;-;-;233;457;181;310;342;453;649;631;968;1345;1347;1344;1241;1008;10509
"320090 BARRA DE SAO FRANCISCO";-;-;284;534;100;-;-;-;-;-;2;58;34;56;68;196;1363;775;3470
"320100 BOA ESPERANCA";-;-;24;529;661;913;791;812;858;1093;976;1039;1328;1142;1101;1189;1256;1849;15561
"320110 BOM JESUS DO NORTE";-;-;703;210;75;100;158;121;299;292;414;109;172;76;66;159;102;76;3132
"320115 BREJETUBA";-;-;809;1549;1772;1344;1230;1404;1234;1064;1276;1550;1564;1729;1620;827;1347;240;20559
"320120 CACHOEIRO DE ITAPEMIRIM";-;-;423;1751;1737;1767;1937;3108;5009;2914;3797;4014;3246;3539;5316;5280;7615;8541;59994
"320130 CARIACICA";-;-;-;-;109;452;641;931;2399;5324;2394;1922;1903;1747;2473;1720;1602;5243;28860
"320140 CASTELO";-;-;-;93;395;549;563;711;754;953;630;746;555;500;539;2567;2116;2114;13785
"320150 COLATINA";-;-;27;256;650;826;1121;1387;903;1132;1055;1320;1429;1827;3616;3532;3257;2373;24711
"320160 CONCEICAO DA BARRA";5;-;-;67;963;1388;2083;2434;2176;2110;2520;2352;3115;3488;3742;1980;693;-;29116
"320170 CONCEICAO DO CASTELO";-;9;50;64;-;-;216;319;481;338;209;363;111;74;392;383;1084;139;4232
"320180 DIVINO DE SAO LOURENCO";-;-;53;143;63;40;28;3;122;338;432;469;474;268;265;171;-;-;2869
"320190 DOMINGOS MARTINS";79;361;124;520;710;398;554;831;1083;660;928;3145;915;515;595;837;356;-;12611
"320200 DORES DO RIO PRETO";-;-;-;-;74;131;271;178;204;188;105;168;237;372;225;40;160;84;2437
"320210 ECOPORANGA";76;-;249;1026;939;768;1128;991;1031;1508;2118;1355;4770;2075;995;880;279;-;20188
"320220 FUNDAO";107;9;24;387;405;423;540;975;1085;506;107;620;624;721;137;158;244;55;7127
"320225 GOVERNADOR LINDENBERG";-;-;-;22;45;168;325;421;503;397;275;366;682;709;728;691;627;720;6679
"320230 GUACUI";-;-;-;-;60;208;639;1108;860;1742;836;612;1572;2184;1461;1208;1042;300;13832
"320240 GUARAPARI";-;-;-;53;367;48;151;386;837;960;1204;409;1515;1564;1585;2490;5568;2420;19557
"320245 IBATIBA";-;-;172;275;324;660;421;576;901;684;739;896;1104;1477;1226;1328;1494;444;12721
"320250 IBIRACU";-;-;-;-;-;-;-;34;99;141;27;10;98;43;67;167;521;867;2074
"320255 IBITIRAMA";-;-;264;663;490;568;559;687;721;760;860;458;2770;743;400;489;805;788;12025
"320260 ICONHA";35;19;74;43;113;165;411;862;826;729;734;532;553;559;540;632;817;586;8230
"320265 IRUPI";-;-;33;707;600;2;201;739;740;435;324;381;459;902;917;828;665;953;8886
"320270 ITAGUACU";-;-;-;52;331;821;738;584;404;806;1157;880;1190;1011;1016;1172;1174;329;11665
"320280 ITAPEMIRIM";-;-;-;-;4;-;-;133;611;460;422;840;1131;983;890;2014;4073;3251;14812
"320290 ITARANA";-;-;103;808;529;590;341;245;254;308;409;379;336;360;278;477;514;378;6309
"320300 IUNA";-;7;35;54;130;165;135;222;265;220;336;250;396;481;887;1301;1224;782;6890
"320305 JAGUARE";-;-;231;1499;2287;2449;2906;2723;2798;2369;1590;1830;2012;2424;2679;2541;2661;3082;36081
"320310 JERONIMO MONTEIRO";-;10;2;92;222;222;94;113;47;74;38;13;25;2;8;405;871;360;2598
"320313 JOAO NEIVA";-;401;570;958;858;727;981;318;957;941;549;658;534;725;901;1262;705;748;12793
"320316 LARANJA DA TERRA";-;-;-;137;47;50;42;125;59;115;34;50;108;130;112;168;45;53;1275
"320320 LINHARES";-;-;-;-;2715;4261;3843;5171;6268;6036;5543;5982;6639;7249;7575;8526;10732;4202;84742
"320330 MANTENOPOLIS";-;-;215;655;555;38;329;931;846;1317;1068;915;994;956;688;1223;1522;1473;13725
"320332 MARATAIZES";-;-;-;-;-;-;5;56;52;43;157;584;1127;343;1662;1322;837;-;6188
"320334 MARECHAL FLORIANO";-;-;-;122;287;206;346;485;452;248;266;394;449;208;123;114;392;-;4092
"320335 MARILANDIA";-;-;406;805;824;857;791;1078;819;1151;1030;794;648;1053;1039;1076;1071;1040;14482
"320340 MIMOSO DO SUL";5;6;104;200;351;421;413;300;461;287;215;393;447;1221;546;540;159;-;6069
"320350 MONTANHA";-;-;-;74;162;412;383;780;846;917;1246;1311;1278;1499;1668;1697;1559;1466;15298
"320360 MUCURICI";-;-;26;533;575;585;377;457;514;473;511;583;646;670;629;705;891;866;9041
"320370 MUNIZ FREIRE";-;105;530;349;181;410;520;357;467;424;1038;1178;1320;1221;1560;1779;1620;1471;14530
"320380 MUQUI";-;-;411;8;23;84;73;95;134;104;161;312;446;445;451;183;285;67;3282
"320390 NOVA VENECIA";-;-;-;238;479;467;771;733;1028;819;863;706;377;637;994;979;1587;2414;13092
"320400 PANCAS";-;-;495;834;1164;1652;1614;1726;1474;1242;1416;1739;1384;1498;1475;1500;1633;1467;22313
"320405 PEDRO CANARIO";-;-;-;-;-;-;602;928;761;762;722;840;1345;1208;1820;1784;2069;2673;15514
"320410 PINHEIROS";-;-;-;97;409;839;1105;1241;925;612;1460;1039;1478;1544;1498;1686;1754;1724;17411
"320420 PIUMA";-;3;-;-;542;1209;1018;959;464;266;529;565;220;453;684;587;850;1242;9591
"320425 PONTO BELO";10;-;235;189;247;450;325;517;369;187;425;473;671;859;685;1124;733;921;8420
"320430 PRESIDENTE KENNEDY";-;-;-;-;189;417;247;507;503;632;319;525;481;423;281;332;668;271;5795
"320435 RIO BANANAL";-;349;137;361;242;359;381;400;1450;986;1283;1345;1312;1251;1566;1517;1684;1487;16110
"320440 RIO NOVO DO SUL";-;-;-;150;403;465;323;774;823;630;424;412;461;471;696;861;912;600;8405
"320450 SANTA LEOPOLDINA";-;-;-;54;582;820;797;597;411;758;590;213;339;448;304;35;-;-;5948
"320455 SANTA MARIA DE JETIBA";10;-;-;306;664;939;806;936;850;780;926;958;936;929;894;856;378;-;11168
"320460 SANTA TERESA";-;-;-;-;213;356;481;510;434;507;573;605;1003;1204;1050;1016;1178;1129;10259
"320465 SAO DOMINGOS DO NORTE";-;-;-;-;256;390;92;62;158;187;32;51;186;258;148;184;291;403;2698
"320470 SAO GABRIEL DA PALHA";-;-;-;-;167;373;440;224;244;60;12;37;110;150;109;302;702;739;3669
"320480 SAO JOSE DO CALCADO";-;-;20;69;105;186;189;240;216;374;206;62;137;21;25;148;299;238;2535
"320490 SAO MATEUS";-;-;-;477;2149;3257;1924;2823;2606;1735;1838;2144;2140;4035;5525;6494;8278;10682;56107
"320495 SAO ROQUE DO CANAA";-;36;24;84;97;144;293;349;489;298;436;310;309;222;245;228;207;105;3876
