 Sistema de Informação de Atenção Básica - Situação de Saneamento - Brasil
Nº FamíliasAb água-rede públAb água-poço/nasc.Ab água-outrosLixo-coletadoLixo-queim/enterrLixo-céu abertoFez.Urina-esgotoFez.Urina-fossaFez.Urina-céu abTip.Casa TijoloTip.Casa TaipaRevTip.Casa TaipaÑRevTip.Casa MadeiraTip.Casa Mat.AprovTip.Casa OutrosTrat.Água FiltradaTrat.Água FervidaTrat.Água CloradaTrat.Água s/Trat.Energia ElétricaFam.Benef. do PBFFam. com CADÚnico por Município
Período:Dez/2011
"Município";"Nº_Famílias";"Ab_água-rede_públ";"Ab_água-poço/nasc.";"Ab_água-outros";"Lixo-coletado";"Lixo-queim/enterr";"Lixo-céu_aberto";"Fez.Urina-esgoto";"Fez.Urina-fossa";"Fez.Urina-céu_ab";"Tip.Casa_Tijolo";"Tip.Casa_TaipaRev";"Tip.Casa_TaipaÑRev";"Tip.Casa_Madeira";"Tip.Casa_Mat.Aprov";"Tip.Casa_Outros";"Trat.Água_Filtrada";"Trat.Água_Fervida";"Trat.Água_Clorada";"Trat.Água_s/Trat.";"Energia_Elétrica";"Fam.Benef._do_PBF";"Fam._com_CADÚnico"
"110013 MACHADINHO D'OESTE";7772;2013;5698;61;3206;4204;362;4;7148;620;746;15;28;6918;32;33;2595;84;4098;995;5155;-;-
"110015 OURO PRETO DO OESTE";13221;5524;7609;88;9480;3367;374;217;12420;584;5189;41;43;7809;103;36;7610;118;2777;2716;12765;-;-
"110018 PIMENTA BUENO";3027;2314;669;44;2585;401;41;477;2437;113;1017;4;6;1975;17;8;2275;13;410;329;2868;-;-
"110020 PORTO VELHO";56022;22260;32925;836;47689;7330;1002;1958;52262;1801;38394;187;96;14792;130;2422;16123;982;31209;7707;52731;-;-
"110025 PRESIDENTE MEDICI";3902;798;3096;8;1559;2236;107;6;3849;47;930;3;2;2948;14;5;2324;21;1109;448;3697;-;-
"110026 RIO CRESPO";1014;89;922;3;312;695;7;7;968;39;80;7;-;910;16;1;161;7;817;29;943;-;-
"110028 ROLIM DE MOURA";17088;5634;11401;53;12254;4593;241;142;16259;687;5025;47;27;11938;38;13;7282;197;3115;6494;16233;-;-
"110029 SANTA LUZIA D'OESTE";3057;367;2664;26;952;2022;83;19;2888;150;946;18;13;2072;8;-;1402;56;1058;541;2903;-;-
"110030 VILHENA";15178;14249;738;191;13879;1160;139;1825;13186;167;6347;121;132;7960;171;446;5964;278;859;8077;13590;-;-
"110032 SAO MIGUEL DO GUAPORE";5855;140;5663;52;1274;4230;351;53;5577;225;592;18;28;5183;31;3;2070;122;2896;767;4828;-;-
"110033 NOVA MAMORE";2883;225;2644;14;2138;706;39;128;2503;252;807;2;2;2070;1;1;381;23;2337;142;2749;-;-
"110034 ALVORADA D'OESTE";3122;589;2513;20;691;2240;191;511;2392;219;338;13;14;2714;26;17;1552;45;990;535;2498;-;-
"110037 ALTO ALEGRE DOS PARECIS";3416;127;3265;24;1188;1861;367;17;3156;243;428;6;3;2898;39;42;1591;40;974;811;2820;-;-
"110040 ALTO PARAISO";2551;84;2410;57;913;1532;106;45;2339;167;241;15;10;2230;39;16;611;131;1449;360;2214;-;-
"110045 BURITIS";7378;10;7344;24;4551;2709;118;10;7018;350;945;18;16;6347;45;7;2666;75;4079;558;6950;-;-
"110050 NOVO HORIZONTE DO OESTE";3059;236;2814;9;782;2160;117;5;2943;111;519;2;4;2515;17;2;1250;18;1371;420;2854;-;-
"110060 CACAULANDIA";1662;145;1500;17;498;1126;38;7;1558;97;214;6;7;1396;26;13;706;15;793;148;1317;-;-
"110070 CAMPO NOVO DE RONDONIA";2783;409;2342;32;525;2110;148;2;2502;279;224;5;18;2500;30;6;935;19;1619;210;1890;-;-
"110080 CANDEIAS DO JAMARI";4320;2078;2235;7;2089;2229;2;30;4219;71;1481;13;10;2728;34;54;1381;59;1867;1013;4005;-;-
"110090 CASTANHEIRAS";1068;206;859;3;200;828;40;13;1034;21;117;3;2;886;58;2;565;12;254;237;1011;-;-
"110092 CHUPINGUAIA";2242;1320;807;115;1190;996;56;37;2133;72;222;-;6;1979;24;11;633;15;289;1305;1677;-;-
"110094 CUJUBIM";4688;241;4427;20;2565;2002;121;20;4584;84;341;5;4;4275;49;14;919;65;2728;976;3886;-;-
"110100 GOVERNADOR JORGE TEIXEIRA";1628;12;1615;1;678;924;26;15;1601;12;343;7;14;1257;5;2;912;15;650;51;1582;-;-
"110110 ITAPUA DO OESTE";2079;536;1525;18;1052;1011;16;13;2019;47;524;7;7;1518;22;1;223;28;1728;100;1827;-;-
"110120 MINISTRO ANDREAZZA";827;43;778;6;83;719;25;23;791;13;177;3;5;622;11;9;589;18;136;84;708;-;-
"110130 MIRANTE DA SERRA";2837;216;2618;3;1300;1488;49;6;2790;41;628;6;4;2179;19;1;853;39;1744;201;2727;-;-
"110143 NOVA UNIAO";2011;135;1856;20;359;1424;228;8;1689;314;549;5;9;1431;13;4;1027;14;487;483;1754;-;-
"110145 PARECIS";808;328;469;11;460;326;22;30;680;98;66;1;2;730;9;-;513;3;217;75;752;-;-
"110146 PIMENTEIRAS DO OESTE";530;242;287;1;240;290;-;7;521;2;83;-;1;444;1;1;108;14;391;17;511;-;-
"110147 PRIMAVERA DE RONDONIA";1129;555;573;1;466;652;11;-;1111;18;327;-;1;793;8;-;509;2;421;197;1067;-;-
"110148 SAO FELIPE D'OESTE";1630;385;1242;3;615;981;34;4;1560;66;544;-;1;1075;10;-;370;8;589;663;1609;-;-
"110149 SAO FRANCISCO DO GUAPORE";4358;4;4341;13;1930;2365;63;33;4121;204;318;5;8;4015;10;2;625;30;3550;153;3696;-;-
"110150 SERINGUEIRAS";3316;223;3085;8;1110;2103;103;2;3186;128;417;5;10;2871;11;2;784;16;2310;206;2937;-;-
"110155 TEIXEIROPOLIS";1480;81;1397;2;513;951;16;-;1443;37;558;2;2;917;-;1;764;8;556;152;1451;-;-
"110160 THEOBROMA";2884;203;2671;10;516;2272;96;14;2792;78;425;6;15;2373;30;35;1012;22;1583;267;2558;-;-
"110170 URUPA";3835;559;3263;13;1376;2311;148;19;3707;109;1139;-;1;2673;17;5;1741;123;1338;633;3563;-;-
"110175 VALE DO ANARI";2740;1019;1704;17;107;2556;77;76;2395;269;212;4;8;2420;93;3;2163;62;475;40;2348;-;-
"110180 VALE DO PARAISO";2734;51;2675;8;761;1929;44;23;2653;58;942;3;6;1751;29;3;1237;39;1264;194;2612;-;-
"120001 ACRELANDIA";4149;1286;2825;38;2088;1951;110;90;3700;359;714;14;19;3245;48;109;761;62;2665;661;3963;-;-
"120005 ASSIS BRASIL";1645;835;723;87;957;587;101;38;1000;607;144;2;7;1368;34;90;442;18;640;545;1309;-;-
"120010 BRASILEIA";5433;2960;2464;9;3467;1709;257;707;3435;1291;1349;4;-;4068;1;11;2673;28;2349;383;4701;-;-
"120013 BUJARI";1623;857;679;87;938;628;57;90;1026;507;253;13;10;1246;16;85;582;16;715;310;1420;-;-
"120017 CAPIXABA";2126;857;1187;82;987;1049;90;12;1620;494;316;4;9;1780;6;11;349;4;1568;205;1902;-;-
"120020 CRUZEIRO DO SUL";17148;8208;7921;1019;9969;4253;2926;320;11944;4884;3665;50;35;12938;56;404;1587;262;13355;1944;15683;-;-
"120025 EPITACIOLANDIA";4028;2579;1373;76;2825;1070;133;33;3648;347;752;4;8;3228;6;30;1640;44;2174;170;3691;-;-
"120030 FEIJO";3872;852;2986;34;3237;451;184;336;2925;611;613;1;5;3120;36;97;334;29;3170;339;3777;-;-
"120032 JORDAO";909;374;349;186;364;192;353;2;353;554;31;16;49;678;13;122;27;11;592;279;392;-;-
"120033 MANCIO LIMA";3604;1868;1557;179;1806;1253;545;81;3042;481;680;25;19;2857;16;7;160;15;2409;1020;3083;-;-
"120034 MANOEL URBANO";1995;1056;886;53;982;474;539;33;1051;911;110;12;58;1522;10;283;108;1;1060;826;1368;-;-
"120035 MARECHAL THAUMATURGO";3065;828;1935;302;769;1773;523;8;2240;817;5;-;3;3022;6;29;38;4;2849;174;1276;-;-
"120038 PLACIDO DE CASTRO";4449;1548;2802;99;2431;1919;99;111;3826;512;1042;13;14;3285;49;46;348;33;3905;163;4193;-;-
"120039 PORTO WALTER";1661;797;414;450;436;476;749;5;687;969;49;-;5;1587;5;15;37;9;1034;581;1050;-;-
"120040 RIO BRANCO";82810;48413;32512;1885;75647;3951;3212;23537;34753;24520;28518;434;410;49576;602;3270;14005;958;53428;14419;81299;-;-
"120042 RODRIGUES ALVES";2766;1145;1442;179;1047;1041;678;46;1670;1050;598;17;21;2068;53;9;130;32;1658;946;2091;-;-
"120043 SANTA ROSA DO PURUS";919;418;480;21;425;25;469;-;175;744;7;-;1;434;2;475;27;-;136;756;422;-;-
"120045 SENADOR GUIOMARD";5483;1130;4267;86;3233;2112;138;49;4780;654;941;18;22;4343;84;75;636;33;4367;447;4732;6;474
"120050 SENA MADUREIRA";7903;3368;4334;201;4853;1959;1091;2;5881;2020;1592;-;-;6311;-;-;1182;31;5579;1111;6211;-;-
"120060 TARAUACA";6053;3170;2057;826;3098;1253;1702;10;2224;3819;439;20;44;5008;72;470;512;38;4052;1451;4552;-;-
"120070 XAPURI";2743;1411;1264;68;1750;642;351;484;1034;1225;253;-;50;2082;42;316;368;8;2285;82;2300;-;-
"120080 PORTO ACRE";4457;952;3328;177;1926;2290;241;15;3207;1235;423;7;29;3951;36;11;600;41;3498;318;3683;-;-
"130002 ALVARAES";2695;1551;740;404;1184;1320;191;37;1552;1106;318;4;1;2335;30;7;147;17;1631;900;2596;-;-
"130006 AMATURA";1331;1057;238;36;1008;230;93;3;632;696;326;-;-;993;12;-;4;1;1326;-;1114;-;-
"130008 ANAMA";1830;829;843;158;702;818;310;9;932;889;2;2;3;1822;1;-;99;5;1462;264;1486;-;-
"130010 ANORI";2573;1867;132;574;1106;1189;278;38;1898;637;498;36;16;1989;34;-;55;26;1800;692;2263;-;-
"130014 APUI";3541;393;3033;115;2015;1409;117;30;3371;140;316;12;19;3105;59;30;1350;49;1863;279;2846;-;-
"130020 ATALAIA DO NORTE";1295;871;82;342;674;299;322;39;661;595;141;3;8;965;3;175;32;3;1027;233;1078;-;-
"130030 AUTAZES";6287;820;4491;976;2867;3185;235;121;5674;492;808;27;18;5338;42;54;165;648;5231;243;4293;-;-
"130040 BARCELOS";2576;1842;261;473;1864;570;142;46;1994;536;689;31;20;1758;35;43;69;44;1925;538;2151;-;-
"130050 BARREIRINHA";5296;3355;1299;642;1932;3333;31;6;4994;296;444;30;37;4629;32;124;28;34;5127;107;4098;-;-
"130060 BENJAMIN CONSTANT";4666;3307;265;1094;3564;759;343;4;2250;2412;573;1;2;4052;35;3;207;40;4375;44;4414;-;-
"130063 BERURI";2861;1768;374;719;1288;1065;508;15;1904;942;6;4;-;2845;3;3;35;16;2558;252;2693;-;-
"130068 BOA VISTA DO RAMOS";2899;1686;1093;120;1208;1572;119;64;2707;128;184;47;36;2549;32;51;319;275;2158;147;1685;-;-
"130070 BOCA DO ACRE";6727;4004;1972;751;4468;1649;610;831;4774;1122;395;1;4;6236;11;80;3330;168;1609;1620;5088;-;-
"130080 BORBA";6209;3268;1184;1757;3068;2733;408;8;4547;1654;1214;21;7;4907;28;32;234;36;4883;1056;3785;-;-
"130083 CAAPIRANGA";2224;486;1267;471;866;1212;146;5;1154;1065;239;1;4;1953;15;12;153;10;1841;220;1653;-;-
"130090 CANUTAMA";1625;1308;238;79;958;263;404;31;863;731;17;2;12;1580;5;9;52;20;1338;215;1421;-;-
"130100 CARAUARI";5111;3703;716;692;3867;656;588;679;3566;866;1085;26;38;3496;158;308;75;57;4439;540;4531;-;-
"130110 CAREIRO";7836;2127;3866;1843;2301;4869;666;176;5137;2523;437;16;28;7071;60;224;692;84;4723;2337;5086;-;-
"130115 CAREIRO DA VARZEA";5021;376;1637;3008;184;3921;916;30;2634;2357;12;5;36;4940;13;15;432;50;2214;2325;2815;-;-
"130120 COARI";14599;3517;8014;3068;8337;5159;1103;6059;5496;3044;3457;57;32;10963;69;21;1318;241;9682;3358;10329;-;-
"130130 CODAJAS";3347;2503;218;626;1713;1026;608;564;1392;1391;782;6;11;2520;22;6;356;54;2160;777;2584;-;-
"130140 EIRUNEPE";5952;2474;2755;723;1973;2977;1002;409;3500;2043;681;5;23;5203;25;15;366;48;2841;2697;4630;-;-
"130150 ENVIRA";3247;785;1938;524;2649;21;577;7;1241;1999;275;-;-;2880;19;73;5;11;3182;49;2723;-;-
"130160 FONTE BOA";4125;2487;131;1507;2363;1318;444;15;2778;1332;254;-;5;3851;15;-;17;15;3961;132;3261;-;-
"130165 GUAJARA";2730;1104;1268;358;1236;575;919;15;1740;975;179;9;38;2454;24;26;40;6;2069;615;1679;-;-
"130170 HUMAITA";8829;6721;1293;815;6320;2105;404;327;6457;2045;3043;37;42;5645;48;14;1433;97;1521;5778;7705;-;-
"130180 IPIXUNA";2846;845;428;1573;780;639;1427;156;654;2036;167;32;87;2385;63;112;180;24;763;1879;1696;-;-
"130185 IRANDUBA";10498;6820;2418;1260;8007;2348;143;181;8163;2154;4953;145;53;5242;64;41;329;289;8891;989;9753;-;-
"130190 ITACOATIARA";19664;13140;4722;1802;12854;6483;327;883;17151;1630;8785;100;98;10502;55;124;1833;1000;14910;1921;15841;-;-
"130195 ITAMARATI";1369;669;346;354;569;343;457;79;642;648;39;-;2;1324;3;1;19;6;1017;327;1127;-;-
"130200 ITAPIRANGA";1724;1377;232;115;1301;418;5;-;1713;11;440;2;1;1266;1;14;21;3;1684;16;1450;-;-
"130210 JAPURA";1732;818;285;629;475;493;764;6;339;1387;96;7;7;1529;85;8;174;20;1074;464;1493;-;-
"130220 JURUA";1583;939;183;461;773;289;521;259;157;1167;71;1;7;1490;10;4;60;19;762;742;1301;-;-
"130230 JUTAI";2302;370;1794;138;124;299;1879;65;2007;230;50;1;4;2232;14;1;57;17;2125;103;2127;-;-
"130240 LABREA";7427;2403;3754;1270;4688;1527;1212;1002;2302;4123;952;43;51;6243;110;28;758;85;4891;1693;6271;-;-
"130250 MANACAPURU";20705;12436;5089;3180;13041;7204;460;972;17262;2471;7428;45;41;12486;41;664;2011;281;6399;12014;16447;22;37
"130255 MANAQUIRI";3612;1302;1152;1158;1253;2226;133;-;930;2682;501;3;9;3083;6;10;142;7;3188;275;3079;-;-
"130260 MANAUS";135251;101571;30582;3027;125126;7467;2585;36375;69660;29091;96122;715;230;36341;554;1150;34112;3015;22448;75409;131428;-;-
"130270 MANICORE";7236;2977;3636;623;3586;3382;268;221;5839;1176;2675;31;47;4374;73;36;966;68;4715;1487;5711;-;-
"130280 MARAA";2205;1273;264;668;889;828;488;343;787;1075;194;-;2;1999;9;1;198;16;1457;534;1867;-;-
"130290 MAUES";9040;4883;728;3429;4604;4429;7;2;9008;30;2190;6;9;6772;11;52;5;1;8997;37;5787;-;-
"130300 NHAMUNDA";3765;2020;873;872;1438;1613;714;3;3664;98;791;63;137;2484;72;218;208;60;1307;2190;2338;-;-
"130310 NOVA OLINDA DO NORTE";5152;2904;1308;940;2930;1897;325;77;3244;1831;675;33;13;4283;32;116;182;31;4477;462;3443;-;-
"130320 NOVO AIRAO";3152;903;1975;274;2437;631;84;29;2644;479;357;24;9;2572;41;149;260;32;2403;457;2758;-;-
"130330 NOVO ARIPUANA";3335;1156;1662;517;1502;1455;378;245;2476;614;570;22;11;2654;35;43;332;125;2212;666;2689;-;-
"130340 PARINTINS";18481;14388;2735;1358;12695;5696;90;39;18152;290;6925;182;181;10905;152;136;1333;127;12843;4178;14798;-;-
"130350 PAUINI";2778;1877;277;624;1679;371;728;27;2072;679;105;3;14;2438;174;44;115;9;1954;700;2116;-;-
"130353 PRESIDENTE FIGUEIREDO";6554;3744;2547;263;4208;2258;88;1083;4624;847;2366;8;20;4090;31;39;535;54;5086;879;5793;-;-
"130356 RIO PRETO DA EVA";6430;2569;3781;80;2600;3720;110;26;6128;276;2046;2;5;4239;30;108;335;49;4969;1077;5547;-;-
"130360 SANTA ISABEL DO RIO NEGRO";1491;1044;144;303;984;345;162;27;1015;449;543;39;56;750;70;33;49;8;580;854;1183;-;-
"130370 SANTO ANTONIO DO ICA";3829;1101;2517;211;1444;1548;837;40;3383;406;389;8;5;3423;4;-;79;612;2770;368;3328;-;-
"130380 SAO GABRIEL DA CACHOEIRA";6313;3514;1326;1473;4315;755;1243;10;3853;2450;2390;225;779;2633;47;239;264;63;3142;2844;4965;-;-
"130390 SAO PAULO DE OLIVENCA";3339;2024;909;406;9;2658;672;10;2207;1122;225;5;16;3073;18;2;42;18;3056;223;2686;-;-
"130395 SAO SEBASTIAO DO UATUMA";1643;1356;87;200;1103;517;23;3;1316;324;325;10;6;1272;4;26;11;2;698;932;1393;-;-
"130400 SILVES";2054;954;867;233;967;1073;14;-;2004;50;397;8;4;1621;14;10;39;11;1918;86;1251;-;-
"130406 TABATINGA";9887;4629;4678;580;8812;806;269;716;8047;1124;5268;46;41;4422;99;11;770;183;7752;1182;9452;-;-
"130410 TAPAUA";3825;2748;209;868;2664;638;523;27;2135;1663;252;4;12;3416;41;100;27;5;3366;427;3340;-;-
"130420 TEFE";12230;9553;2028;649;8837;2755;638;1642;7333;3255;4291;157;89;7474;153;66;1118;186;9467;1459;11152;-;-
"130423 TONANTINS";5895;296;4782;817;1752;3126;1017;38;5380;477;232;6;11;5557;18;71;284;2907;1849;855;2933;-;-
"130426 UARINI";2894;2177;335;382;1780;889;225;7;2164;723;757;-;1;2121;15;-;146;21;2417;310;2687;-;-
"130430 URUCARA";2843;2277;499;67;2251;507;85;19;2437;387;1072;36;23;1638;13;61;237;10;2431;165;2312;-;-
"130440 URUCURITUBA";5183;2949;475;1759;2659;2310;214;38;4966;179;363;3;15;4727;32;43;214;59;1883;3027;3179;-;-
"140002 AMAJARI";1792;764;925;103;508;1054;230;11;1329;452;920;117;64;630;29;32;680;21;603;488;997;-;-
"140005 ALTO ALEGRE";3149;1479;1634;36;1133;1545;471;186;2499;464;1345;92;56;1606;33;17;944;50;813;1342;1831;-;-
"140010 BOA VISTA";48666;47582;353;731;47685;270;711;6814;40423;1429;43067;95;40;5256;91;117;7421;912;10047;30286;48044;-;-
"140015 BONFIM";1621;1026;572;23;884;691;46;2;1227;392;1136;62;23;371;16;13;120;9;1002;490;1302;-;-
"140017 CANTA";1006;377;546;83;100;667;239;39;567;400;238;29;33;690;15;1;171;17;737;81;658;-;-
"140020 CARACARAI";3911;2838;989;84;2500;1209;202;1790;1500;621;2078;37;30;1705;46;15;601;73;898;2339;3239;-;-
"140023 CAROEBE";1773;870;894;9;812;861;100;116;1274;383;628;10;5;1127;2;1;234;13;1257;269;1652;-;-
"140028 IRACEMA";1819;1299;470;50;1077;618;124;728;925;166;1152;8;9;639;10;1;142;32;1274;371;1600;-;-
"140030 MUCAJAI";3173;1879;1277;17;1739;1323;111;22;2666;485;1524;66;18;1542;14;9;305;50;2366;452;2865;-;-
"140040 NORMANDIA";759;614;144;1;482;213;64;6;651;102;686;14;45;10;1;3;70;5;522;162;674;-;-
"140045 PACARAIMA";2959;2010;920;29;1505;1120;334;159;2427;373;1906;58;67;898;22;8;1114;50;831;964;2225;-;-
"140047 RORAINOPOLIS";3527;1258;2240;29;2250;1139;138;24;3143;360;1420;9;21;2061;7;9;569;93;1904;961;3132;-;-
"140050 SAO JOAO DA BALIZA";1582;1083;494;5;1058;442;82;35;1392;155;667;9;8;891;7;-;556;16;442;568;1480;-;-
"140060 SAO LUIZ";1333;913;415;5;880;409;44;5;1174;154;856;3;1;470;3;-;290;13;537;493;1290;-;-
"140070 UIRAMUTA";515;290;183;42;155;137;223;3;314;198;210;162;121;16;1;5;30;1;124;360;247;-;-
"150010 ABAETETUBA";23117;4982;11788;6347;11629;8778;2710;409;11838;10870;8169;57;35;14506;234;116;4617;505;11337;6658;14503;-;-
"150013 ABEL FIGUEIREDO";1887;1485;365;37;1547;245;95;1;1770;116;630;28;19;1173;35;2;1266;8;71;542;1719;-;-
"150020 ACARA";12349;3186;7705;1458;3258;6973;2118;191;5944;6214;1661;116;62;10406;85;19;1636;226;6303;4184;5928;-;-
"150030 AFUA";7380;1478;215;5687;1471;3448;2461;28;488;6864;2;1;6;7347;17;7;284;89;6882;125;3215;-;-
"150034 AGUA AZUL DO NORTE";3572;617;2893;62;1361;1751;460;56;2576;940;1224;108;157;1827;234;22;2477;37;584;474;2484;-;-
"150040 ALENQUER";9812;2126;6332;1353;2342;6246;1223;182;8268;1361;1668;104;85;7301;103;550;539;110;6415;2747;3941;-;-
"150050 ALMEIRIM";5493;3319;1422;752;2930;1862;701;523;2705;2265;1228;14;32;4160;52;7;238;45;4634;576;3990;-;-
"150060 ALTAMIRA";16582;3300;12576;706;12268;2926;1388;288;14561;1733;8765;480;433;6675;138;91;3673;456;9574;2879;13204;-;-
"150070 ANAJAS";4528;235;2666;1627;2203;1530;795;7;614;3907;40;7;22;4355;83;21;58;20;4191;259;2515;-;-
"150080 ANANINDEUA";80559;25294;53741;1520;76283;3015;1250;5022;72910;2623;70290;492;138;9473;91;71;32949;4091;17352;26163;78087;-;-
"150090 AUGUSTO CORREA";9611;2152;7050;409;2637;4412;2562;180;4444;4987;5343;864;1845;1218;285;56;533;132;1016;7930;8389;-;-
"150095 AURORA DO PARA";5918;2810;2975;133;1490;3260;1168;3;4848;1067;2085;252;410;3090;68;13;580;52;2630;2656;3841;-;-
"150100 AVEIRO";3043;849;1936;258;658;1950;435;189;2570;284;424;133;199;2184;39;64;612;44;1742;645;1954;-;-
"150110 BAGRE";2213;950;480;783;661;370;1182;10;313;1890;46;1;9;2144;12;1;145;35;1364;669;1294;-;-
"150120 BAIAO";6830;4316;2283;231;2536;3770;524;164;5271;1395;2803;174;202;3476;125;50;315;27;2081;4407;5797;-;-
"150125 BANNACH";1790;536;1182;72;637;850;303;9;1292;489;480;13;24;1195;46;32;1011;17;231;531;1044;-;-
"150130 BARCARENA";18784;6453;11045;1286;13414;4176;1194;756;13923;4105;9570;62;76;8867;173;36;3129;626;8385;6644;15381;-;-
"150140 BELEM";3611;3196;353;62;3593;8;10;1537;1811;263;2368;17;6;1164;49;7;2186;142;204;1079;3515;9;-
"150145 BELTERRA";3661;1513;1668;480;1414;1850;397;30;3359;272;678;96;79;2474;85;249;729;57;1918;957;2302;-;-
"150150 BENEVIDES";13731;11621;2055;55;12540;1100;91;146;13496;89;11342;95;124;2148;20;2;742;222;3032;9735;13695;-;-
"150157 BOM JESUS DO TOCANTINS";4222;1823;2071;328;1843;1648;731;28;3165;1029;2173;293;267;1346;34;109;2016;52;641;1513;2991;-;-
"150160 BONITO";3488;1885;1557;46;379;1977;1132;11;887;2590;1497;630;1204;138;16;3;196;33;176;3083;2785;-;-
"150170 BRAGANCA";22496;8738;12426;1332;8527;9363;4606;955;17657;3884;11308;2859;4818;2749;539;223;2461;440;7808;11787;17661;-;-
"150172 BRASIL NOVO";4047;2007;1965;75;1747;2016;284;17;3903;127;1239;204;102;2469;27;6;3271;47;453;276;3151;-;-
"150175 BREJO GRANDE DO ARAGUAIA";1443;1075;341;27;658;457;328;21;1210;212;404;182;67;739;38;13;730;14;99;600;1229;-;-
"150178 BREU BRANCO";11747;2337;9124;286;6699;3754;1294;797;8769;2181;2488;315;514;8119;242;69;1464;216;5110;4957;10622;-;-
"150180 BREVES";9028;3648;2499;2879;4109;1923;2995;133;2273;6620;161;16;65;8597;154;34;2638;144;4990;1255;5687;-;-
"150190 BUJARU";3576;2062;1207;307;1868;1212;496;52;2446;1078;726;63;100;2600;70;17;445;364;999;1768;2654;-;-
"150195 CACHOEIRA DO PIRIA";4185;861;3245;79;758;1963;1464;8;2389;1788;1834;215;512;1438;161;25;397;39;1134;2615;2396;-;-
"150200 CACHOEIRA DO ARARI";4430;1263;2985;182;406;3537;487;48;2594;1788;608;28;98;3618;57;21;236;101;3014;1079;2273;-;-
"150210 CAMETA";22397;9842;5447;7108;7809;8626;5962;1002;9815;11580;4462;92;108;16833;670;232;4061;1376;10370;6590;11546;-;-
"150215 CANAA DOS CARAJAS";4900;698;4033;169;3909;792;199;163;4441;296;2252;63;60;2335;152;38;2764;71;832;1233;4542;-;-
"150220 CAPANEMA";15112;1394;13075;643;7446;5587;2079;500;12898;1714;10098;1136;2155;1437;222;64;3690;407;1671;9344;13275;-;-
"150230 CAPITAO POCO";10532;6448;3777;307;5533;3157;1842;437;8197;1898;5689;1735;1701;1037;134;236;1167;186;1672;7507;8207;-;-
"150240 CASTANHAL";41448;18532;22335;581;34477;5457;1514;314;39599;1535;32928;1753;2072;4319;248;128;10532;1642;7976;21298;39579;-;-
"150250 CHAVES";2187;276;333;1578;246;1233;708;1;239;1947;46;2;7;2047;21;64;90;72;1794;231;466;-;-
"150260 COLARES";2475;1544;885;46;397;1853;225;5;2145;325;853;44;49;1467;31;31;464;98;547;1366;1800;-;-
"150270 CONCEICAO DO ARAGUAIA";11895;5624;6150;121;7823;3205;867;579;9162;2154;9972;224;135;1202;264;98;6498;104;1228;4065;9709;-;-
