 Sistema de Informação de Atenção Básica - Situação de Saneamento - Brasil
Nº FamíliasAb água-rede públAb água-poço/nasc.Ab água-outrosLixo-coletadoLixo-queim/enterrLixo-céu abertoFez.Urina-esgotoFez.Urina-fossaFez.Urina-céu abTip.Casa TijoloTip.Casa TaipaRevTip.Casa TaipaÑRevTip.Casa MadeiraTip.Casa Mat.AprovTip.Casa OutrosTrat.Água FiltradaTrat.Água FervidaTrat.Água CloradaTrat.Água s/Trat.Energia ElétricaFam.Benef. do PBFFam. com CADÚnico por Município
Período:Dez/2013
"Município";"Nº_Famílias";"Ab_água-rede_públ";"Ab_água-poço/nasc.";"Ab_água-outros";"Lixo-coletado";"Lixo-queim/enterr";"Lixo-céu_aberto";"Fez.Urina-esgoto";"Fez.Urina-fossa";"Fez.Urina-céu_ab";"Tip.Casa_Tijolo";"Tip.Casa_TaipaRev";"Tip.Casa_TaipaÑRev";"Tip.Casa_Madeira";"Tip.Casa_Mat.Aprov";"Tip.Casa_Outros";"Trat.Água_Filtrada";"Trat.Água_Fervida";"Trat.Água_Clorada";"Trat.Água_s/Trat.";"Energia_Elétrica";"Fam.Benef._do_PBF";"Fam._com_CADÚnico"
"110014 NOVA BRASILANDIA D'OESTE";7843;2244;5514;85;2679;4595;569;268;6998;577;773;15;40;6947;56;12;5069;169;1750;855;6858;77;78
"110015 OURO PRETO DO OESTE";14676;6699;7893;84;10914;3396;366;208;13813;655;6050;34;56;8416;95;25;8250;124;3470;2832;14204;129;206
"110018 PIMENTA BUENO";9505;7370;2097;38;8227;1236;42;1141;8227;137;4663;34;26;4751;21;10;4905;90;2282;2228;9272;537;534
"110020 PORTO VELHO";66786;27540;38272;973;58012;7724;1049;4005;60338;2442;46754;276;147;16861;142;2605;19492;1131;37808;8354;63426;975;655
"110025 PRESIDENTE MEDICI";4188;931;3255;2;1910;2235;43;5;4162;21;1176;3;4;2980;11;14;2386;23;1466;313;4122;815;1035
"110026 RIO CRESPO";1013;74;935;4;316;692;5;8;969;36;80;12;2;902;12;5;153;7;823;30;933;145;160
"110028 ROLIM DE MOURA";17907;6376;11473;58;13004;4664;239;151;17101;655;5693;47;27;12082;43;15;7249;244;3960;6454;17081;214;45
"110029 SANTA LUZIA D'OESTE";2174;340;1819;15;777;1354;43;8;2078;88;681;5;9;1471;8;-;992;28;851;303;2099;267;42
"110030 VILHENA";13722;12761;765;196;12441;1147;134;1411;12149;162;5888;128;124;6927;193;461;5153;255;841;7473;12337;3;5
"110032 SAO MIGUEL DO GUAPORE";4919;65;4823;31;1564;3159;196;52;4720;147;605;14;18;4254;27;1;1031;108;3376;404;4446;951;392
"110033 NOVA MAMORE";2801;220;2564;17;2128;646;27;74;2543;184;859;3;5;1932;-;2;321;14;2277;189;2732;443;402
"110034 ALVORADA D'OESTE";4242;1318;2903;21;1436;2613;193;1032;2990;220;514;15;14;3658;24;17;1941;58;1670;573;3655;32;16
"110037 ALTO ALEGRE DOS PARECIS";3617;248;3339;30;1488;1833;296;19;3404;194;636;3;2;2923;33;20;1577;44;1124;872;3272;35;10
"110040 ALTO PARAISO";3029;80;2905;44;947;1980;102;41;2845;143;318;8;11;2646;38;8;684;114;1916;315;2729;469;433
"110045 BURITIS";9730;11;9695;24;6395;3222;113;31;9355;344;1340;28;23;8261;54;24;3082;74;6051;523;9373;457;5755
"110050 NOVO HORIZONTE DO OESTE";2869;333;2530;6;806;1982;81;2;2781;86;560;3;4;2289;11;2;1125;14;1441;289;2713;166;41
"110060 CACAULANDIA";1817;159;1650;8;696;1100;21;13;1740;64;296;5;8;1481;20;7;655;20;1048;94;1576;158;186
"110070 CAMPO NOVO DE RONDONIA";2976;489;2459;28;675;2200;101;2;2767;207;328;6;20;2593;25;4;748;13;1986;229;2253;518;517
"110080 CANDEIAS DO JAMARI";4340;2041;2294;5;2048;2291;1;29;4245;66;1467;12;10;2781;28;42;1320;55;1996;969;4057;9;13
"110090 CASTANHEIRAS";1106;274;828;4;263;819;24;13;1073;20;192;4;8;885;15;2;580;19;326;181;1062;31;11
"110092 CHUPINGUAIA";1307;872;371;64;821;464;22;98;1185;24;230;1;2;1058;14;2;293;6;156;852;1095;131;128
"110094 CUJUBIM";4705;240;4445;20;2620;1970;115;20;4604;81;342;7;4;4290;52;10;907;65;2751;982;3952;91;9
"110100 GOVERNADOR JORGE TEIXEIRA";2093;2;2089;2;913;1163;17;6;2073;14;475;6;8;1579;23;2;761;21;1255;56;2050;303;147
"110110 ITAPUA DO OESTE";1793;382;1375;36;787;994;12;28;1714;51;418;6;5;1309;53;2;164;59;1480;90;1667;43;43
"110120 MINISTRO ANDREAZZA";2290;989;1297;4;1099;1182;9;32;2255;3;701;2;4;1579;3;1;1885;13;313;79;2280;33;47
"110130 MIRANTE DA SERRA";3054;331;2721;2;1521;1497;36;8;3013;33;741;5;4;2283;20;1;899;32;1934;189;2956;17;9
"110140 MONTE NEGRO";2108;465;1639;4;655;1436;17;103;1987;18;401;5;22;1656;19;5;301;21;1634;152;1988;200;185
"110143 NOVA UNIAO";2111;145;1940;26;375;1504;232;9;1780;322;600;7;11;1405;82;6;1065;19;513;514;1869;1;7
"110145 PARECIS";1108;440;648;20;504;577;27;8;1016;84;131;-;9;962;5;1;645;9;308;146;1060;317;324
"110146 PIMENTEIRAS DO OESTE";867;409;458;-;421;446;-;4;857;6;214;-;5;644;3;1;82;9;735;41;822;28;12
"110147 PRIMAVERA DE RONDONIA";1124;546;577;1;482;636;6;2;1109;13;356;-;2;759;7;-;522;1;408;193;1080;195;214
"110148 SAO FELIPE D'OESTE";1616;393;1220;3;624;966;26;3;1554;59;568;-;-;1037;10;1;373;7;589;647;1598;114;135
"110149 SAO FRANCISCO DO GUAPORE";4456;3;4440;13;2173;2228;55;24;4260;172;377;5;7;4051;14;2;484;33;3814;125;3917;277;269
"110150 SERINGUEIRAS";3372;325;3041;6;1254;2037;81;38;3230;104;528;10;5;2808;20;1;767;16;2422;167;3106;481;264
"110155 TEIXEIROPOLIS";1274;88;1184;2;467;793;14;4;1227;43;511;-;4;758;-;1;666;7;287;314;1257;234;198
"110160 THEOBROMA";2779;235;2533;11;559;2133;87;10;2697;72;487;5;13;2219;27;28;961;29;1551;238;2523;430;8
"110170 URUPA";3033;409;2613;11;985;1924;124;13;2929;91;884;4;1;2128;10;6;1312;90;1202;429;2775;803;28
"110175 VALE DO ANARI";2744;843;1882;19;127;2505;112;53;2480;211;216;2;8;2456;57;5;1769;68;851;56;2237;196;20
"110180 VALE DO PARAISO";2751;54;2689;8;804;1899;48;26;2673;52;995;8;7;1698;40;3;1228;38;1302;183;2623;379;241
"120001 ACRELANDIA";3934;1191;2708;35;1969;1865;100;75;3504;355;713;14;22;3039;49;97;707;50;2539;638;3773;45;60
"120005 ASSIS BRASIL";1810;862;824;124;998;653;159;46;1113;651;185;2;7;1508;35;73;585;18;642;565;1457;269;322
"120010 BRASILEIA";5611;3100;2511;-;3592;1811;208;835;3549;1227;1513;2;-;4093;3;-;2723;33;2479;376;4819;894;120
"120013 BUJARI";1779;984;642;153;1074;680;25;42;1251;486;380;4;2;1155;5;233;632;12;947;188;1635;310;100
"120017 CAPIXABA";2113;939;1106;68;1062;989;62;9;1672;432;370;3;6;1716;9;9;327;7;1613;166;1908;376;375
"120020 CRUZEIRO DO SUL";15492;8384;6243;865;9955;3435;2102;12;10357;5123;3806;49;38;11107;55;437;937;146;13047;1362;13964;3163;3194
"120025 EPITACIOLANDIA";4165;2707;1391;67;2946;1095;124;33;3840;292;818;4;7;3308;8;20;1542;36;2451;136;3859;340;290
"120030 FEIJO";3910;829;3058;23;3401;341;168;328;3127;455;611;-;5;3107;33;154;331;21;3262;296;3832;283;289
"120032 JORDAO";1218;691;431;96;664;213;341;5;672;541;30;31;67;1073;11;6;72;5;1099;42;788;399;491
"120033 MANCIO LIMA";3561;1865;1525;171;1797;1276;488;110;3025;426;676;26;20;2818;14;7;161;15;2417;968;3056;19;10
"120034 MANOEL URBANO";2015;1077;887;51;1008;525;482;25;1023;967;123;13;54;1558;8;259;107;4;1068;836;1417;-;2
"120035 MARECHAL THAUMATURGO";2987;821;2000;166;739;1467;781;9;1825;1153;5;-;1;2952;5;24;36;2;2860;89;1356;20;17
"120038 PLACIDO DE CASTRO";4842;1823;2941;78;2783;1970;89;110;4211;521;1227;15;15;3507;41;37;380;34;4242;186;4635;448;448
"120039 PORTO WALTER";1576;798;387;391;486;403;687;4;618;954;46;1;2;1507;6;14;70;3;1246;257;1010;515;1294
"120040 RIO BRANCO";90328;54423;33975;1930;82371;4868;3089;31021;34974;24333;33730;436;373;50100;616;5073;14509;951;56751;18117;88707;4894;1038
"120042 RODRIGUES ALVES";2848;1269;1264;315;1126;1050;672;37;1710;1101;666;14;19;2079;45;25;88;22;2158;580;2319;113;122
"120043 SANTA ROSA DO PURUS";987;493;451;43;576;7;404;3;293;691;27;8;34;595;5;318;144;36;75;732;546;88;57
"120045 SENADOR GUIOMARD";5467;1130;4251;86;3232;2098;137;49;4762;656;936;18;22;4332;84;75;638;32;4350;447;4719;7;384
"120050 SENA MADUREIRA";8390;3661;4668;61;6055;1781;554;1;7170;1219;2412;1;1;5976;-;-;125;11;8142;112;6883;2234;92
"120060 TARAUACA";6787;3593;2375;819;3691;1263;1833;17;2367;4403;511;19;42;5640;75;500;543;38;4732;1474;5123;133;32
"120070 XAPURI";3612;1733;1787;92;2107;974;531;599;1405;1608;343;3;63;2690;61;452;401;17;3104;90;2789;314;478
"120080 PORTO ACRE";4125;972;2995;158;1914;2042;169;31;3132;962;529;5;23;3523;32;13;458;37;3448;182;3581;522;678
"130002 ALVARAES";2811;1621;802;388;1425;1187;199;7;1781;1023;376;1;10;2403;21;-;61;7;2281;462;2739;1101;553
"130006 AMATURA";1428;1152;237;39;1115;252;61;-;701;727;379;3;3;1037;6;-;3;2;1423;-;1211;449;449
"130008 ANAMA";1781;748;972;61;631;877;273;26;837;918;2;2;8;1767;2;-;85;2;1443;251;1493;-;-
"130010 ANORI";2691;1986;119;586;1721;759;211;17;2031;643;617;49;9;1959;57;-;61;37;2274;319;2417;-;-
"130014 APUI";3742;585;3034;123;2303;1343;96;35;3533;174;491;8;15;3163;43;22;1220;43;2275;204;3230;-;-
"130020 ATALAIA DO NORTE";2027;1572;114;341;1137;526;364;161;818;1048;244;22;8;1523;39;191;102;6;1659;260;1813;689;685
"130030 AUTAZES";7156;1309;4778;1069;3642;3343;171;138;6470;548;1444;21;18;5582;43;48;156;513;6263;224;5234;1939;2126
"130040 BARCELOS";2757;2044;238;475;2040;572;145;29;2129;599;674;37;22;1965;26;33;98;42;1993;624;2319;-;-
"130050 BARREIRINHA";5751;3718;1303;730;2112;3624;15;9;5651;91;562;29;41;4996;52;71;13;14;5620;104;4974;2055;227
"130060 BENJAMIN CONSTANT";4872;3473;252;1147;3845;678;349;39;2640;2193;717;1;6;4117;29;2;123;40;4656;53;4591;1538;1137
"130063 BERURI";3159;1856;305;998;1465;1168;526;11;2134;1014;6;4;-;3143;3;3;28;8;2954;169;2972;-;-
"130068 BOA VISTA DO RAMOS";2949;1730;1093;126;1251;1594;104;50;2752;147;201;48;30;2594;29;47;296;249;2263;141;1826;-;-
"130070 BOCA DO ACRE";6285;4438;1445;402;4512;1443;330;713;4886;686;319;1;4;5851;8;102;3216;64;1520;1485;5374;540;29
"130080 BORBA";5831;3861;991;979;3754;1713;364;91;4420;1320;1636;23;24;4077;47;24;215;49;4833;734;4453;1865;1444
"130083 CAAPIRANGA";2270;439;1548;283;927;1279;64;4;1323;943;325;-;3;1929;10;3;37;3;2159;71;1987;338;280
"130090 CANUTAMA";2303;1836;271;196;1524;433;346;92;1149;1062;49;1;8;2228;12;5;21;17;2097;168;2170;282;134
"130100 CARAUARI";5577;4030;831;716;4236;742;599;1131;3554;892;1191;20;38;3864;139;325;67;55;4909;546;5059;-;-
"130110 CAREIRO";5801;2608;2354;839;2726;2918;157;59;4400;1342;645;23;8;4626;37;462;286;28;4385;1102;5185;1353;1340
"130115 CAREIRO DA VARZEA";4925;340;1684;2901;199;3830;896;32;2523;2370;13;6;37;4843;13;13;412;43;2266;2204;3241;503;20
"130120 COARI";13431;3319;7910;2202;8442;4548;441;7163;3562;2706;4095;78;70;9116;52;20;1053;160;9850;2368;10183;3592;2155
"130130 CODAJAS";4000;2945;362;693;2479;1044;477;976;1240;1784;1325;10;16;2609;30;10;853;79;2599;469;3371;-;-
"130140 EIRUNEPE";6249;2647;2908;694;2220;3038;991;376;3821;2052;796;13;14;5377;29;20;392;43;3826;1988;5063;2283;2289
"130160 FONTE BOA";4030;2395;124;1511;2297;1299;434;10;2722;1298;328;-;3;3687;12;-;13;15;3889;113;3220;237;102
"130165 GUAJARA";3004;1213;1484;307;1409;783;812;17;2074;913;231;9;36;2687;24;17;36;2;2482;484;2042;25;19
"130170 HUMAITA";9759;7689;1239;831;7110;2374;275;524;6851;2384;3821;36;37;5781;26;58;1967;96;1567;6129;8725;2670;15
"130180 IPIXUNA";2794;1500;279;1015;977;643;1174;149;751;1894;295;9;26;2340;73;51;109;18;1006;1661;2263;1376;777
"130185 IRANDUBA";12308;6722;4219;1367;8130;4020;158;182;10096;2030;6440;139;44;5570;76;39;552;2010;9015;731;11642;2137;383
"130190 ITACOATIARA";20704;13556;5374;1774;13489;6929;286;815;18275;1614;9523;99;95;10827;67;93;1864;858;16214;1768;17146;1031;571
"130195 ITAMARATI";1369;666;350;353;572;343;454;78;641;650;39;-;2;1324;3;1;19;6;1020;324;1125;-;-
"130200 ITAPIRANGA";2091;1690;272;129;1660;423;8;-;2062;29;801;1;1;1278;4;6;8;1;2082;-;1867;818;88
"130210 JAPURA";1619;817;253;549;468;497;654;6;336;1277;94;8;7;1413;89;8;151;20;1006;442;1383;-;1
"130220 JURUA";1882;1040;286;556;856;529;497;297;277;1308;92;19;25;1731;9;6;49;16;1168;649;1618;95;93
"130230 JUTAI";2330;1033;1160;137;323;769;1238;60;2049;221;102;1;5;2208;13;1;57;15;2154;104;2157;-;1
"130240 LABREA";7650;2336;4239;1075;5380;1314;956;1064;3096;3490;1091;71;43;6333;87;25;482;65;6032;1071;6717;1200;3255
"130250 MANACAPURU";21034;12500;5348;3186;13263;7317;454;1074;17337;2623;7817;44;36;12428;52;657;2099;274;7106;11555;16787;3951;702
"130255 MANAQUIRI";2605;817;1716;72;820;1774;11;-;901;1704;319;-;7;2243;6;30;8;-;2596;1;2541;1246;1247
"130260 MANAUS";133723;107642;23460;2594;125430;6149;2115;44128;62573;26956;103161;818;277;27946;525;956;37176;3076;21278;72133;130220;4903;5531
"130270 MANICORE";8002;3248;4026;728;3917;3800;285;187;6602;1213;2938;34;39;4847;57;87;1032;67;5369;1534;6195;1048;296
"130280 MARAA";2618;1197;384;1037;784;1398;436;302;956;1360;270;20;12;2296;10;10;168;21;1905;524;2258;503;439
"130290 MAUES";9617;5400;899;3318;4980;4637;-;-;9617;-;2700;-;-;6917;-;-;-;-;9617;-;6632;3391;2746
"130300 NHAMUNDA";4057;2285;918;854;1622;1793;642;-;3926;131;857;55;116;2743;77;209;182;46;1822;2007;2702;1186;1221
"130310 NOVA OLINDA DO NORTE";5404;3457;657;1290;3445;1955;4;14;3960;1430;1005;51;7;4202;15;124;3;1;5388;12;4399;2154;2156
"130320 NOVO AIRAO";2980;1086;1683;211;2318;599;63;30;2541;409;328;19;8;2466;38;121;206;26;2392;356;2616;-;-
"130330 NOVO ARIPUANA";3649;1170;1833;646;1605;1623;421;236;2728;685;629;26;13;2911;30;40;330;109;2753;457;2916;279;280
"130340 PARINTINS";19271;14936;3044;1291;13327;5866;78;659;18278;334;7461;135;147;11303;119;106;1148;109;14452;3562;15847;479;514
"130350 PAUINI";2722;1652;491;579;1575;606;541;27;2037;658;117;1;5;2470;97;32;100;36;2144;442;2107;-;-
"130353 PRESIDENTE FIGUEIREDO";7424;4362;2833;229;5016;2338;70;1570;5022;832;2883;14;21;4431;39;36;486;59;6192;687;6950;1420;1361
"130356 RIO PRETO DA EVA";5542;2305;3152;85;2334;3176;32;17;5357;168;2150;5;2;3239;19;127;229;42;4607;664;5023;610;1282
"130360 SANTA ISABEL DO RIO NEGRO";1655;1133;233;289;1103;426;126;23;1168;464;651;36;59;818;65;26;46;10;817;782;1296;570;504
"130370 SANTO ANTONIO DO ICA";4275;1564;2498;213;2101;1834;340;112;3952;211;723;6;2;3537;7;-;23;224;3932;96;4085;576;279
"130380 SAO GABRIEL DA CACHOEIRA";6904;3731;1543;1630;4859;748;1297;7;4320;2577;2856;173;874;2772;51;178;250;75;3710;2869;5257;1303;184
"130390 SAO PAULO DE OLIVENCA";3641;2204;1031;406;8;3144;489;9;2354;1278;326;5;16;3278;14;2;33;19;3389;200;3172;40;2
"130395 SAO SEBASTIAO DO UATUMA";1751;1450;106;195;1204;527;20;8;1422;321;600;9;2;1124;5;11;14;3;864;870;1529;490;64
"130400 SILVES";2077;963;907;207;995;1071;11;1;2026;50;504;6;4;1542;12;9;37;10;1953;77;1394;578;615
"130406 TABATINGA";9419;4326;4648;445;8603;601;215;640;7681;1098;5242;59;40;3999;65;14;440;156;8081;742;9139;1754;1751
"130410 TAPAUA";3865;2826;155;884;2779;776;310;26;2306;1533;295;3;12;3475;28;52;20;4;3546;295;3410;1370;1373
"130420 TEFE";11427;8313;2467;647;7756;3131;540;1754;6028;3645;3861;141;81;7020;241;83;1077;166;8808;1376;10489;1886;1599
"130423 TONANTINS";5895;296;4782;817;1752;3126;1017;38;5380;477;232;6;11;5557;18;71;284;2907;1849;855;2933;-;-
"130426 UARINI";2622;1931;301;390;1821;663;138;827;1242;553;671;2;8;1921;20;-;197;103;2120;202;2514;388;346
"130430 URUCARA";3039;2550;428;61;2320;701;18;29;2357;653;1513;12;10;1352;10;142;119;3;2815;102;2875;1197;1249
"130440 URUCURITUBA";4554;2511;454;1589;2340;2026;188;36;4346;172;507;2;17;3955;30;43;191;52;1761;2550;2944;496;495
"140002 AMAJARI";1539;637;788;114;560;781;198;10;1078;451;724;76;50;626;24;39;589;15;524;411;874;137;145
"140005 ALTO ALEGRE";3336;1747;1525;64;1384;1539;413;206;2692;438;1422;93;46;1738;21;16;935;48;927;1426;2437;412;339
"140010 BOA VISTA";55093;54091;452;550;54143;416;534;7064;46860;1169;49392;121;38;5337;94;111;8773;927;15078;30315;54531;661;700
"140015 BONFIM";1642;1151;488;3;840;766;36;3;1257;382;1220;33;18;347;21;3;115;9;1169;349;1422;790;777
"140017 CANTA";1499;560;880;59;273;960;266;57;976;466;472;46;44;919;16;2;189;23;1019;268;1119;319;173
"140020 CARACARAI";4169;2785;1230;154;2552;1470;147;1858;1697;614;2218;44;28;1804;46;29;471;49;1128;2521;3703;835;876
"140023 CAROEBE";1387;878;504;5;814;529;44;114;1111;162;600;14;3;769;-;1;157;7;1144;79;1359;281;288
"140028 IRACEMA";2191;1714;462;15;1500;608;83;1024;1027;140;1491;13;6;660;16;5;143;31;1486;531;2084;125;109
"140030 MUCAJAI";4491;2522;1954;15;2249;2125;117;213;3784;494;2150;61;20;2231;25;4;275;61;3673;482;4181;688;699
"140040 NORMANDIA";638;582;55;1;518;106;14;2;621;15;622;2;-;12;1;1;26;10;567;35;636;2;6
"140045 PACARAIMA";989;735;188;66;804;136;49;13;823;153;586;36;61;290;12;4;571;17;218;183;877;14;1
"140047 RORAINOPOLIS";4283;1495;2730;58;2748;1421;114;34;3799;450;1639;13;23;2583;17;8;526;104;2337;1316;4036;429;472
"140050 SAO JOAO DA BALIZA";1729;1199;516;14;1196;478;55;27;1563;139;760;3;1;940;22;3;495;17;534;683;1710;161;147
"140060 SAO LUIZ";1342;909;426;7;879;419;44;6;1172;164;865;3;1;470;3;-;286;14;579;463;1292;277;278
"140070 UIRAMUTA";660;335;291;34;77;327;256;3;416;241;290;76;207;32;-;55;107;2;60;491;319;267;49
"150010 ABAETETUBA";25346;5528;13204;6614;12918;9677;2751;423;12972;11951;9195;83;61;14192;1652;163;5180;681;12271;7214;16496;1401;533
"150013 ABEL FIGUEIREDO";1912;1533;352;27;1620;213;79;1;1812;99;731;24;17;1111;27;2;1267;7;152;486;1768;89;38
"150020 ACARA";11701;3428;7251;1022;3529;6916;1256;236;6161;5304;1974;74;68;9502;71;12;1447;200;7081;2973;7582;3731;3869
"150030 AFUA";4345;337;104;3904;508;2383;1454;10;207;4128;-;1;4;4322;11;7;38;32;4203;72;1587;1;1
"150040 ALENQUER";12000;2637;8026;1336;3207;7505;1287;188;10131;1680;2263;173;108;8762;115;578;576;200;7909;3314;5286;1282;1267
"150050 ALMEIRIM";5676;3447;1433;796;3093;1916;667;501;2851;2324;1289;19;30;4279;42;17;226;57;4785;608;4194;1240;1607
"150060 ALTAMIRA";16885;3532;12658;695;12610;2943;1332;352;14882;1651;9241;473;431;6522;130;88;3695;470;9699;3021;13538;123;28
"150070 ANAJAS";4572;235;2696;1641;2213;1565;794;7;614;3951;40;7;22;4399;83;21;58;20;4236;258;2517;1;-
"150080 ANANINDEUA";82022;25919;54444;1655;77833;2902;1277;4856;74692;2470;72574;478;119;8562;98;187;34357;3891;15250;28520;79478;578;1666
"150085 ANAPU";3569;230;3265;74;1388;1755;426;37;2756;776;718;200;150;2400;62;39;1043;57;1438;1031;2378;-;-
"150090 AUGUSTO CORREA";10368;2952;7042;374;3053;4846;2469;177;4773;5418;6332;890;1785;1112;230;19;519;133;972;8744;9549;897;810
"150095 AURORA DO PARA";5914;3395;2444;75;2088;3327;499;5;5455;454;2630;214;205;2801;57;7;413;45;3595;1861;4980;1181;4948
"150100 AVEIRO";3036;824;1954;258;658;1944;434;153;2603;280;437;133;199;2164;39;64;600;44;1755;637;1946;34;36
"150110 BAGRE";2827;975;672;1180;667;642;1518;13;344;2470;54;1;12;2738;20;2;251;41;1751;784;1520;340;36
"150120 BAIAO";6708;4260;2205;243;2625;3556;527;201;5095;1412;2964;150;169;3307;50;68;260;19;363;6066;5874;1646;1670
"150125 BANNACH";1322;439;848;35;549;653;120;1;1091;230;486;3;1;804;19;9;776;9;126;411;1062;83;4
"150130 BARCARENA";22209;7004;11755;3450;17574;3711;924;1094;17446;3669;12848;84;66;7624;1212;375;3799;551;10197;7662;19431;1484;576
"150140 BELEM";114093;86109;25900;2084;108197;3861;2035;27353;73977;12763;73837;626;330;36990;1470;840;60203;6110;12733;35047;109280;1101;619
"150145 BELTERRA";3616;1525;1685;406;1258;1982;376;15;3336;265;913;88;74;2282;85;174;648;58;1972;938;2493;615;158
"150150 BENEVIDES";13391;11497;1816;78;12309;988;94;158;13104;129;11256;96;128;1870;35;6;704;215;2896;9576;13346;487;515
"150157 BOM JESUS DO TOCANTINS";4010;1745;2066;199;1830;1662;518;72;2962;976;2063;255;283;1240;51;118;1762;35;823;1390;2833;58;-
"150160 BONITO";3492;1903;1543;46;377;1984;1131;11;891;2590;1503;633;1197;140;16;3;195;33;176;3088;2791;-;-
"150170 BRAGANCA";23361;9021;12820;1520;9215;9534;4612;902;18202;4257;12074;2873;4883;2765;565;201;2517;454;8188;12202;18489;32;2
"150172 BRASIL NOVO";4900;2706;2133;61;2450;2242;208;20;4795;85;1826;186;89;2752;39;8;3160;64;1406;270;4247;577;559
"150175 BREJO GRANDE DO ARAGUAIA";1447;1064;357;26;657;557;233;25;1154;268;483;75;121;726;37;5;666;4;110;667;1281;179;8
"150178 BREU BRANCO";11466;2267;8934;265;6542;3684;1240;786;8565;2115;2502;248;487;7926;218;85;1436;211;5041;4778;10459;211;79
"150180 BREVES";13870;5170;4464;4236;7838;3720;2312;168;4182;9520;464;53;132;13062;147;12;5198;157;6687;1828;9768;3278;894
"150190 BUJARU";5259;3253;1771;235;2880;2029;350;94;3975;1190;1241;46;46;3866;51;9;510;234;1912;2603;4565;864;95
"150195 CACHOEIRA DO PIRIA";4131;899;3165;67;810;2227;1094;9;2677;1445;1952;174;457;1394;141;13;354;26;1532;2219;2803;806;845
"150200 CACHOEIRA DO ARARI";4688;1825;2756;107;1774;2619;295;29;3143;1516;826;234;127;3450;18;33;271;52;3647;718;3053;1398;1437
"150210 CAMETA";22837;10131;5290;7416;8128;8905;5804;1001;9983;11853;4783;90;111;17028;623;202;3914;1275;11038;6610;12171;3987;77
"150215 CANAA DOS CARAJAS";4777;813;3801;163;3837;775;165;129;4395;253;2351;72;38;2134;147;35;2640;66;910;1161;4446;49;40
"150220 CAPANEMA";15310;1437;13104;769;7971;5373;1966;484;13095;1731;10433;1089;2095;1411;217;65;3665;408;1761;9476;13432;251;252
"150230 CAPITAO POCO";11149;6868;3978;303;5628;3649;1872;473;8680;1996;6136;1817;1765;1035;169;227;1132;169;1799;8049;8818;641;15
"150240 CASTANHAL";21572;8759;12543;270;19361;1982;229;92;20134;1346;18843;430;831;1417;41;10;6946;502;4022;10102;20905;2973;1449
