 Sistema de Informação de Atenção Básica - Situação de Saneamento - Brasil
Nº FamíliasAb água-rede públAb água-poço/nasc.Ab água-outrosLixo-coletadoLixo-queim/enterrLixo-céu abertoFez.Urina-esgotoFez.Urina-fossaFez.Urina-céu abTip.Casa TijoloTip.Casa TaipaRevTip.Casa TaipaÑRevTip.Casa MadeiraTip.Casa Mat.AprovTip.Casa OutrosTrat.Água FiltradaTrat.Água FervidaTrat.Água CloradaTrat.Água s/Trat.Energia ElétricaFam.Benef. do PBFFam. com CADÚnico por Município
Período:Dez/2015
"Município";"Nº_Famílias";"Ab_água-rede_públ";"Ab_água-poço/nasc.";"Ab_água-outros";"Lixo-coletado";"Lixo-queim/enterr";"Lixo-céu_aberto";"Fez.Urina-esgoto";"Fez.Urina-fossa";"Fez.Urina-céu_ab";"Tip.Casa_Tijolo";"Tip.Casa_TaipaRev";"Tip.Casa_TaipaÑRev";"Tip.Casa_Madeira";"Tip.Casa_Mat.Aprov";"Tip.Casa_Outros";"Trat.Água_Filtrada";"Trat.Água_Fervida";"Trat.Água_Clorada";"Trat.Água_s/Trat.";"Energia_Elétrica";"Fam.Benef._do_PBF";"Fam._com_CADÚnico"
"130420 TEFE";11427;8313;2467;647;7756;3131;540;1754;6028;3645;3861;141;81;7020;241;83;1077;166;8808;1376;10489;1886;1599
"130426 UARINI";2682;1824;419;439;1787;749;146;868;1244;570;626;2;15;2013;26;-;205;228;2039;210;2569;368;322
"130430 URUCARA";3042;2541;419;82;2317;707;18;29;2358;655;1509;12;11;1358;10;142;104;3;2833;102;2882;1225;1258
"140002 AMAJARI";1436;608;715;113;560;692;184;10;1009;417;695;76;50;558;25;32;566;15;494;361;834;93;95
"140015 BONFIM";1630;1148;479;3;837;757;36;3;1249;378;1213;33;18;343;20;3;114;9;1166;341;1411;787;775
"140020 CARACARAI";4114;2707;1251;156;2444;1509;161;1795;1674;645;2173;35;30;1803;49;24;440;43;1179;2452;3696;892;931
"140028 IRACEMA";2277;1771;486;20;1550;643;84;1061;1071;145;1574;17;7;655;19;5;171;38;1580;488;2173;248;203
"140040 NORMANDIA";635;579;55;1;515;106;14;2;618;15;619;2;-;12;1;1;23;10;566;36;632;2;6
"140050 SAO JOAO DA BALIZA";1742;1204;527;11;1195;495;52;26;1574;142;768;5;3;947;17;2;479;17;544;702;1726;170;142
"140060 SAO LUIZ";1299;881;411;7;861;395;43;13;1126;160;842;3;2;448;4;-;269;13;565;452;1256;248;249
