 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2021 - Brasil
População residente por Município
Sexo: Feminino
Faixa Etária 1: 40 a 49 anos
Período:2004
"Município";"População_residente"
"172030 SAO SEBASTIAO DO TOCANTINS";176
"172049 SAO VALERIO";242
"172065 SILVANOPOLIS";241
"172080 SITIO NOVO DO TOCANTINS";434
"172085 SUCUPIRA";78
"172090 TAGUATINGA";687
"172093 TAIPAS DO TOCANTINS";75
"172097 TALISMA";135
"172100 PALMAS";8684
"172110 TOCANTINIA";252
"172120 TOCANTINOPOLIS";1133
"172125 TUPIRAMA";68
"172130 TUPIRATINS";86
"172208 WANDERLANDIA";508
"172210 XAMBIOA";585
"210005 ACAILANDIA";4451
"210010 AFONSO CUNHA";224
"210015 AGUA DOCE DO MARANHAO";419
"210020 ALCANTARA";979
"210030 ALDEIAS ALTAS";938
"210040 ALTAMIRA DO MARANHAO";312
"210043 ALTO ALEGRE DO MARANHAO";1027
"210047 ALTO ALEGRE DO PINDARE";1193
"210050 ALTO PARNAIBA";529
"210055 AMAPA DO MARANHAO";231
"210060 AMARANTE DO MARANHAO";1315
"210070 ANAJATUBA";986
"210080 ANAPURUS";490
"210083 APICUM-ACU";532
"210087 ARAGUANA";476
"210090 ARAIOSES";1511
"210095 ARAME";1114
"210100 ARARI";1279
"210110 AXIXA";428
"210120 BACABAL";4981
"210125 BACABEIRA";553
"210130 BACURI";706
"210135 BACURITUBA";200
"210140 BALSAS";3089
"210150 BARAO DE GRAJAU";862
"210160 BARRA DO CORDA";3395
"210170 BARREIRINHAS";1674
"210173 BELAGUA";184
"210177 BELA VISTA DO MARANHAO";405
"210180 BENEDITO LEITE";282
"210190 BEQUIMAO";932
"210193 BERNARDO DO MEARIM";228
"210197 BOA VISTA DO GURUPI";202
"210200 BOM JARDIM";1528
"210203 BOM JESUS DAS SELVAS";862
"210207 BOM LUGAR";560
"210210 BREJO";1335
"210215 BREJO DE AREIA";467
"210220 BURITI";1030
"210230 BURITI BRAVO";1113
"210232 BURITICUPU";2279
"210235 BURITIRANA";604
"210237 CACHOEIRA GRANDE";301
"210240 CAJAPIO";394
"210250 CAJARI";728
"210255 CAMPESTRE DO MARANHAO";488
"210260 CANDIDO MENDES";645
"210270 CANTANHEDE";753
"210275 CAPINZAL DO NORTE";545
"210280 CAROLINA";1169
"210290 CARUTAPERA";756
"210300 CAXIAS";7593
"210310 CEDRAL";439
"210312 CENTRAL DO MARANHAO";277
"210315 CENTRO DO GUILHERME";324
"210317 CENTRO NOVO DO MARANHAO";558
"210320 CHAPADINHA";3079
"210325 CIDELANDIA";589
"210330 CODO";5693
"210340 COELHO NETO";2239
"210350 COLINAS";1762
"210355 CONCEICAO DO LAGO-ACU";516
"210360 COROATA";2870
"210370 CURURUPU";1571
"210375 DAVINOPOLIS";580
"210380 DOM PEDRO";1091
"210390 DUQUE BACELAR";397
"210400 ESPERANTINOPOLIS";948
"210405 ESTREITO";1218
"210407 FEIRA NOVA DO MARANHAO";323
"210408 FERNANDO FALCAO";300
"210409 FORMOSA DA SERRA NEGRA";542
"210410 FORTALEZA DOS NOGUEIRAS";488
"210420 FORTUNA";809
"210430 GODOFREDO VIANA";311
"210440 GONCALVES DIAS";898
"210450 GOVERNADOR ARCHER";478
"210455 GOVERNADOR EDISON LOBAO";597
"210460 GOVERNADOR EUGENIO BARROS";653
"210462 GOVERNADOR LUIZ ROCHA";327
"210465 GOVERNADOR NEWTON BELLO";426
"210467 GOVERNADOR NUNES FREIRE";1094
"210470 GRACA ARANHA";305
"210480 GRAJAU";2129
"210490 GUIMARAES";546
"210500 HUMBERTO DE CAMPOS";790
"210510 ICATU";847
"210515 IGARAPE DO MEIO";457
"210520 IGARAPE GRANDE";491
"210530 IMPERATRIZ";12952
"210535 ITAIPAVA DO GRAJAU";435
"210540 ITAPECURU MIRIM";2463
"210542 ITINGA DO MARANHAO";1117
"210545 JATOBA";272
"210547 JENIPAPO DOS VIEIRAS";495
"210550 JOAO LISBOA";1139
"210560 JOSELANDIA";689
"210565 JUNCO DO MARANHAO";237
"210570 LAGO DA PEDRA";1924
"210580 LAGO DO JUNCO";476
"210590 LAGO VERDE";632
"210592 LAGOA DO MATO";495
"210594 LAGO DOS RODRIGUES";466
"210596 LAGOA GRANDE DO MARANHAO";373
"210598 LAJEADO NOVO";272
"210600 LIMA CAMPOS";635
"210610 LORETO";475
"210620 LUIS DOMINGUES";232
"210630 MAGALHAES DE ALMEIDA";612
"210632 MARACACUME";689
"210635 MARAJA DO SENA";279
"210637 MARANHAOZINHO";458
"210640 MATA ROMA";595
"210650 MATINHA";908
"210660 MATOES";1266
"210663 MATOES DO NORTE";449
"210667 MILAGRES DO MARANHAO";320
"210670 MIRADOR";908
"210675 MIRANDA DO NORTE";949
"210680 MIRINZAL";543
"210690 MONCAO";1154
"210700 MONTES ALTOS";430
"210710 MORROS";578
"210720 NINA RODRIGUES";395
"210725 NOVA COLINAS";173
"210730 NOVA IORQUE";243
"210735 NOVA OLINDA DO MARANHAO";746
"210740 OLHO D'AGUA DAS CUNHAS";888
"210745 OLINDA NOVA DO MARANHAO";508
"210750 PACO DO LUMIAR";4774
"210760 PALMEIRANDIA";809
"210770 PARAIBANO";942
"210780 PARNARAMA";1486
"210790 PASSAGEM FRANCA";822
"210800 PASTOS BONS";787
"210805 PAULINO NEVES";448
"210810 PAULO RAMOS";858
"210820 PEDREIRAS";2102
"210825 PEDRO DO ROSARIO";790
"210830 PENALVA";1300
"210840 PERI MIRIM";621
"210845 PERITORO";934
"210850 PINDARE-MIRIM";1372
"210860 PINHEIRO";3521
"210870 PIO XII";991
"210880 PIRAPEMAS";700
"210890 POCAO DE PEDRAS";1158
"210900 PORTO FRANCO";875
"210905 PORTO RICO DO MARANHAO";292
"210910 PRESIDENTE DUTRA";2197
"210920 PRESIDENTE JUSCELINO";366
"210923 PRESIDENTE MEDICI";228
"210927 PRESIDENTE SARNEY";610
"210930 PRESIDENTE VARGAS";378
"210940 PRIMEIRA CRUZ";411
"210945 RAPOSA";870
"210950 RIACHAO";911
"210955 RIBAMAR FIQUENE";308
"210960 ROSARIO";1659
"210970 SAMBAIBA";249
"210975 SANTA FILOMENA DO MARANHAO";262
"210980 SANTA HELENA";1396
"210990 SANTA INES";3822
"211000 SANTA LUZIA";2696
"211003 SANTA LUZIA DO PARUA";920
"211010 SANTA QUITERIA DO MARANHAO";969
"211020 SANTA RITA";1196
"211023 SANTANA DO MARANHAO";336
"211027 SANTO AMARO DO MARANHAO";355
"211030 SANTO ANTONIO DOS LOPES";702
"211040 SAO BENEDITO DO RIO PRETO";679
"211050 SAO BENTO";1726
"211060 SAO BERNARDO";999
"211065 SAO DOMINGOS DO AZEITAO";309
"211070 SAO DOMINGOS DO MARANHAO";1485
"211080 SAO FELIX DE BALSAS";261
"211085 SAO FRANCISCO DO BREJAO";377
"211090 SAO FRANCISCO DO MARANHAO";559
"211100 SAO JOAO BATISTA";795
"211102 SAO JOAO DO CARU";577
"211105 SAO JOAO DO PARAISO";451
"211107 SAO JOAO DO SOTER";752
"211110 SAO JOAO DOS PATOS";1290
"211120 SAO JOSE DE RIBAMAR";7232
"211125 SAO JOSE DOS BASILIOS";338
"211130 SAO LUIS";55397
"211140 SAO LUIS GONZAGA DO MARANHAO";1001
"211150 SAO MATEUS DO MARANHAO";1760
"211153 SAO PEDRO DA AGUA BRANCA";508
"211157 SAO PEDRO DOS CRENTES";164
"211160 SAO RAIMUNDO DAS MANGABEIRAS";750
"211163 SAO RAIMUNDO DO DOCA BEZERRA";309
"211167 SAO ROBERTO";180
"211170 SAO VICENTE FERRER";813
"211172 SATUBINHA";365
"211174 SENADOR ALEXANDRE COSTA";413
"211176 SENADOR LA ROCQUE";680
"211178 SERRANO DO MARANHAO";396
"211180 SITIO NOVO";651
"211190 SUCUPIRA DO NORTE";520
